,Num,Year,Cruise_ID,Leg,Cast,lon,lat,Mon,Day,Date,Time,sample,depth,fluor_vol_filt,chlide_a,chl_c3,chl_c1_c2,tot_chl_c1,peridinin,fucox_but,fucox,fucox_hex,prasinox,diatox,allox,diatox,lutein,zeax,chl_b_tot,chl_a_tot,carotene_a,carotene_b,turner_chl_a,turner_pheo,neoxanthin,violaxanthin
48,05,1998,93HG_036,3,,-64.67,10.5,11,10,19981110,,,99,2,0,5,5,10,0,10,13,25,0,2,0,0,0,4,0,104,5,0,NM,NM,0,0
49,05,1998,93HG_037,1,,-64.67,10.5,12,16,19981216,,,1,2,0,0,0,0,0,4,4,19,0,0,0,0,0,76,0,160,0,0,NM,NM,0,0
50,05,1998,93HG_037,1,,-64.67,10.5,12,16,19981216,,,7,2,0,0,0,0,0,0,0,7,0,0,0,0,0,22,0,0,0,0,NM,NM,0,0
51,06,1998,93HG_037,1,,-64.67,10.5,12,16,19981216,,,15,2,0,0,0,0,0,0,2,10,0,0,0,0,0,47,0,53,0,0,NM,NM,0,0
52,06,1998,93HG_037,1,,-64.67,10.5,12,16,19981216,,,25,2,0,0,0,0,0,0,0,10,0,0,0,0,0,48,0,111,0,0,NM,NM,0,0
53,06,1998,93HG_037,1,,-64.67,10.5,12,16,19981216,,,35,2,0,50,63,113,0,20,33,155,12,8,0,0,0,31,189,349,0,0,NM,NM,8,0
54,06,1998,93HG_037,1,,-64.67,10.5,12,16,19981216,,,55,2,0,64,72,135,0,40,22,121,2,5,0,0,0,27,155,194,0,0,NM,NM,7,0
55,06,1998,93HG_037,1,,-64.67,10.5,12,16,19981216,,,75,2,0,20,18,39,0,14,11,36,0,0,0,0,0,6,72,83,0,0,NM,NM,0,0
56,06,1998,93HG_037,1,,-64.67,10.5,12,16,19981216,,,101,2,0,20,7,27,0,16,12,41,0,2,0,0,0,6,138,152,0,0,NM,NM,0,0
57,06,1999,93HG_038,1,,-64.67,10.5,01,12,19990112,,,2,1,172,392,527,919,0,73,970,353,24,65,22,0,0,120,0,2630,15,3,NM,NM,19,0
58,06,1999,93HG_038,1,,-64.67,10.5,01,12,19990112,,,7,1,142,372,453,825,0,84,1086,368,23,73,26,0,0,103,0,2023,2,21,NM,NM,24,0
59,06,1999,93HG_038,1,,-64.67,10.5,01,12,19990112,,,15,1,309,394,482,876,0,88,1170,391,22,79,29,0,0,113,0,3140,7,48,NM,NM,18,0
60,06,1999,93HG_038,1,,-64.67,10.5,01,12,19990112,,,25,1,0,133,124,257,0,52,218,235,10,21,22,0,0,42,0,1362,21,8,NM,NM,9,0
61,06,1999,93HG_038,1,,-64.67,10.5,01,12,19990112,,,35,1,15,119,108,227,0,50,181,220,0,16,10,0,0,56,0,1034,30,10,NM,NM,0,0
62,07,1999,93HG_038,1,,-64.67,10.5,01,12,19990112,,,55,2,0,17,0,17,0,10,25,40,0,0,0,0,0,0,0,143,5,0,NM,NM,0,0
63,07,1999,93HG_038,1,,-64.67,10.5,01,12,19990112,,,75,2,0,0,0,0,0,0,8,11,0,0,0,0,0,0,0,33,0,0,NM,NM,0,0
64,07,1999,93HG_038,1,,-64.67,10.5,01,12,19990112,,,101,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,NM,0,0
