"","Cruise_ID2","date","temp_5","temp_15","temp_25","temp_75"
"91","CAR-091","2003-07-08",25.4925,25.1440714285714,24.56375,22.8602638888889
"92","CAR-092","2003-08-05",26.29,25.3435,24.4491666666667,22.5313918918919
"93","CAR-093","2003-09-10",27.1716666666667,26.9097692307692,26.4123913043478,24.448
"94","CAR-094","2003-11-11",28.73675,28.5676428571429,28.4544166666667,26.9413918918919
"95","CAR-095","2003-12-09",27.7055,27.6057857142857,27.4532083333333,25.8143648648649
"96","CAR-096","2004-01-13",25.159,24.991,24.9377916666667,23.856472972973
"97","CAR-097","2004-02-10",24.23775,24.1612857142857,24.0801666666667,23.2147027027027
"98","CAR-098","2004-03-09",24.6575,24.3940714285714,24.2074583333333,23.1678513513514
"99","CAR-099","2004-04-06",25.624,25.291,24.8404583333333,23.0818378378378
"100","CAR-100","2004-05-13",23.9216666666667,23.9222307692308,23.6665652173913,22.4719726027397
"101","CAR-101","2004-06-08",25.61675,25.4267142857143,25.0609166666667,23.8260675675676
"102","CAR-102","2004-07-07",25.98875,25.2151428571429,24.536,22.5376756756757
"103","CAR-103","2004-08-10",24.9146666666667,24.4640769230769,23.6416086956522,22.3195616438356
"104","CAR-104","2004-09-07",27.97325,27.5777857142857,27.0312916666667,25.4946216216216
"105","CAR-105","2004-10-05",28.78375,28.6402857142857,28.0669166666667,26.4702702702703
"106","CAR-106","2004-11-09",28.47475,28.2860714285714,27.6427916666667,26.0851216216216
"107","CAR-107","2004-12-07",26.0115,25.9005714285714,25.8205,23.9003918918919
"108","CAR-108","2005-01-11",25.49825,25.1743571428571,24.98675,23.3291621621622
"109","CAR-109","2005-02-09",26.4062,26.2253333333333,25.9684,23.9881866666667
"110","CAR-110","2005-03-09",26.00325,25.7561428571429,25.617,23.759027027027
"111","CAR-111","2005-04-05",23.4742,23.073,22.94972,21.9839733333333
"112","CAR-112","2005-05-10",27.56025,27.4327142857143,26.9618333333333,25.0754189189189
"113","CAR-113","2005-06-14",28.94625,28.6132142857143,27.772625,25.4717162162162
"114","CAR-114","2005-07-12",27.12075,27.0208571428571,26.7809583333333,24.1887972972973
"115","CAR-115","2005-08-09",26.2305,25.4175,24.43825,22.3533243243243
"116","CAR-116","2005-10-04",29.3014,29.1404666666667,29.08152,26.80164
"117","CAR-117","2005-12-14",26.8188,26.7282,26.4938,24.90476
"118","CAR-118","2006-01-12",24.43,24.1937857142857,24.0576666666667,22.7509864864865
"119","CAR-119","2006-02-07",23.6215,23.4486428571429,23.3752916666667,22.0122837837838
"120","CAR-120","2006-03-16",24.50475,24.4215714285714,24.1332916666667,22.5370405405405
"121","CAR-121","2006-04-04",23.4525,23.0681428571429,22.51675,21.4137702702703
"122","CAR-122","2006-05-10",27.5994,27.3086,26.51632,24.4876133333333
"123","CAR-123","2006-06-06",25.9458,25.7028,25.25096,23.4441066666667
"124","CAR-124","2006-07-04",25.87425,25.6644285714286,25.0755,23.4005675675676
"125","CAR-125","2006-08-03",26.71625,25.2057857142857,23.936625,22.1787567567568
"126","CAR-126","2006-09-12",27.958,27.5829285714286,27.008625,24.5463513513514
"127","CAR-127","2006-10-10",26.6272,25.9118,25.392,24.2052266666667
"128","CAR-128","2006-11-02",28.6418,28.5052666666667,28.27352,26.72848
"129","CAR-129","2006-12-05",27.2316,26.9415333333333,26.7486,25.0727333333333
"130","CAR-130","2007-02-06",23.3112,22.9712666666667,22.7096,21.4567066666667
"131","CAR-131","2007-03-06",23.877,23.0008,22.353,21.2334133333333
"132","CAR-132","2007-04-10",24.1155,23.981,23.3605,21.6692567567568
"133","CAR-133","2007-05-08",26.09275,25.6341428571429,25.116625,22.7484594594595
"134","CAR-134","2007-06-05",27.91225,27.7293571428571,27.4529583333333,25.5150540540541
"135","CAR-135","2007-07-03",26.1953333333333,25.1498461538462,24.4332173913043,22.7527397260274
"136","CAR-136","2007-08-07",28.57875,28.3092142857143,27.849625,25.7352702702703
"137","CAR-137","2007-09-04",28.8083333333333,28.6262307692308,27.9435217391304,26.2408904109589
"138","CAR-138","2007-10-09",28.972,28.4822,27.70324,25.6533733333333
"139","CAR-139","2007-11-30",27.1133333333333,26.982,26.6020434782609,25.3536712328767
"140","CAR-140","2007-12-11",27.72275,27.5751428571429,27.3292083333333,25.8648918918919
"141","CAR-141","2008-01-10",25.82575,25.5475714285714,25.1949583333333,23.7310810810811
"142","CAR-142","2008-02-12",24.67425,24.6042857142857,24.4928333333333,22.8217837837838
"143","CAR-143","2008-03-11",23.5145,23.2017857142857,23.0012916666667,21.5243243243243
"144","CAR-144","2008-04-08",23.70625,23.2588571428571,23.119375,21.5092027027027
"145","CAR-145","2008-05-06",26.2335,25.8601428571429,25.4306666666667,23.1329054054054
"146","CAR-146","2008-06-04",27.73,27.1643076923077,26.2072173913043,24.3771095890411
"147","CAR-147","2008-07-08",25.33425,24.789,24.0349583333333,22.5653108108108
"148","CAR-148","2008-08-05",26.33975,26.1884285714286,25.5177916666667,23.6452837837838
"149","CAR-149","2008-09-10",29.399,29.0034285714286,28.382375,26.5074864864865
"150","CAR-150","2008-10-10",29.808,29.3719285714286,28.7756666666667,26.6549459459459
"151","CAR-151","2008-11-11",27.50625,27.1695,26.9047916666667,25.4470405405405
"152","CAR-152","2008-12-10",26.59125,26.5432142857143,26.4840833333333,25.5225135135135
"153","CAR-153","2009-01-13",24.9596,24.9204666666667,24.85296,23.72104
"154","CAR-154","2009-02-10",24.0985,24.0983571428571,24.0849583333333,22.6219864864865
"155","CAR-155","2009-03-03",24.3406,24.0472,23.51228,22.0736
"156","CAR-156","2009-04-07",24.323,24.3155,24.005375,22.2382432432432
"157","CAR-157","2009-05-08",24.3378,23.604,23.13392,21.5870133333333
"158","CAR-158","2009-06-02",24.5636,24.02,23.56348,21.92712
"159","CAR-159","2009-07-14",26.338,26.0565333333333,25.51164,23.6728666666667
"160","CAR-160","2009-08-11",27.2515,25.9812142857143,25.05925,23.1563513513514
"161","CAR-161","2009-09-15",27.647,27.3434285714286,26.8467083333333,24.2210405405405
"162","CAR-162","2009-10-06",26.96225,26.8123571428571,26.4034583333333,24.5173648648649
"163","CAR-163","2009-11-10",28.3064,28.1096,27.72268,25.8635733333333
"164","CAR-164","2009-12-08",25.72625,25.4857857142857,25.4024583333333,24.4091621621622
"165","CAR-165","2010-01-07",25.5246,25.1797333333333,25.07248,23.5595733333333
"166","CAR-166","2010-02-09",23.2906,22.6333333333333,22.34344,21.1270133333333
"167","CAR-167","2010-03-09",27.7968,27.0966,26.73312,24.77092
"168","CAR-168","2010-04-07",26.202,25.8944666666667,25.61028,23.9100133333333
"169","CAR-169","2010-05-11",25.75825,25.1700714285714,24.938,23.5102567567568
"170","CAR-170","2010-06-08",28.65775,28.5164285714286,28.3138333333333,25.4396486486486
"171","CAR-171","2010-08-04",27.1176,26.7957333333333,26.1262,24.7834933333333
"172","CAR-172","2010-09-15",29.719,29.2505,28.590875,26.3955945945946
"173","CAR-173","2010-10-04",29.6316,29.6358666666667,29.61552,28.2824533333333
"174","CAR-174","2010-11-09",29.74075,29.5363571428571,29.4690416666667,27.8918513513514
"175","CAR-175","2010-12-08",28.0982,27.8902666666667,27.71092,25.7130933333333
"176","CAR-176","2011-01-11",25.76225,25.4697857142857,24.8505416666667,23.9858243243243
"177","CAR-177","2011-02-08",24.23575,23.9095,23.7907083333333,22.4246621621622
"178","CAR-178","2011-03-15",25.437,25.3458461538462,25.1718260869565,22.7135205479452
"179","CAR-179","2011-04-12",24.043,23.6145384615385,23.1091304347826,21.5078630136986
"180","CAR-180","2011-05-10",26.419,26.2252,25.45956,23.4760933333333
"181","CAR-181","2011-06-09",28.8934,28.4636666666667,27.65572,25.7071066666667
"182","CAR-182","2011-07-07",26.1908,25.6373333333333,25.13364,23.8569866666667
"183","CAR-183","2011-08-09",27.928,26.9902,26.0174,24.03712
"184","CAR-184","2011-09-06",28.89375,28.1226428571429,27.4862083333333,25.9338243243243
"185","CAR-185","2011-10-04",27.648,27.4315333333333,26.79748,24.9058
"186","CAR-186","2012-11-18",28.3444,28.1928666666667,27.889,26.1656533333333
"187","CAR-187","2012-01-10",25.2072,24.9164666666667,24.59756,23.1546266666667
"188","CAR-188","2012-02-07",22.8548,22.5262666666667,22.41712,21.5858933333333
"189","CAR-189","2012-03-16",22.1408,21.6019333333333,21.4494,20.4871066666667
"190","CAR-190","2012-04-10",24.5106,23.5938,22.89124,21.1815866666667
"191","CAR-191","2012-05-15",27.1064,26.9689333333333,26.90896,25.6093466666667
"192","CAR-193","2012-07-26",26.7828,25.9264,25.26372,23.6314266666667
"193","CAR-194","2012-08-14",28.1394,27.7644666666667,27.03628,24.8705466666667
"194","CAR-195","2012-09-10",27.1714,26.6939333333333,26.08788,24.4893066666667
"195","CAR-196","2012-10-10",28.1302,27.5544,27.04112,25.4651066666667
"196","CAR-197","2012-11-08",28.7032,28.5723333333333,28.2686,26.4899733333333
"197","CAR-198","2012-12-03",26.806,26.6404,26.4784,25.3328
"198","CAR-199","2013-03-05",24.5822,24.108,23.65208,21.8810266666667
"199","CAR-200","2013-04-09",24.2572,23.9402666666667,23.79912,22.61904
"200","CAR-201","2013-05-09",25.2952,24.8712666666667,24.35424,22.65488
"201","CAR-202","2013-06-11",26.0622,25.7448666666667,25.18388,23.5482
"202","CAR-203","2013-07-11",27.49,27.2576,26.4578,24.1196533333333
"203","CAR-204","2013-08-13",26.4118,25.4758,24.83368,23.0651066666667
"204","CAR-205","2013-09-11",29.2504,29.1134,28.87164,26.5698133333333
"205","CAR-206","2013-10-08",28.801,28.2557333333333,27.25964,24.6647466666667
"206","CAR-207","2013-11-13",27.1155,27.0257857142857,26.6945,25.0745540540541
"207","CAR-208","2013-12-04",26.4818,26.2491333333333,25.84328,24.1700133333333
"208","CAR-209","2014-01-14",23.0672,23.0013333333333,22.86732,21.5466533333333
"209","CAR-210","2014-02-04",22.253,21.7092,21.51712,20.9067066666667
"210","CAR-211","2014-04-01",22.933,22.5969333333333,22.42876,21.39724
"211","CAR-212","2014-05-06",23.1904,22.5517333333333,22.01552,20.6184266666667
"212","CAR-213","2014-06-13",24.7952,24.3908666666667,24.22728,23.2824
"213","CAR-214","2014-09-03",27.2624,26.9692666666667,26.6888,25.16816
"214","CAR-215","2014-10-07",26.81225,26.7180714285714,26.3565833333333,24.8504594594595
"215","CAR-216","2014-11-12",27.1804,27.0574,26.62988,25.3588
"216","CAR-217","2014-12-09",26.3732,25.7483333333333,25.31436,24.2291466666667
"217","CAR-218","2015-02-14",25.78975,25.6079285714286,24.96525,22.6378648648649
"218","CAR-219","2015-03-10",23.58025,23.5418571428571,23.498125,22.4815675675676
"219","CAR-220","2015-04-14",23.308,23.0686666666667,22.73968,21.5803466666667
"220","CAR-221","2015-07-29",25.0814,25.0485333333333,24.74924,22.5073066666667
"221","CAR-222","2015-08-18",24.8708,24.3405333333333,23.93028,22.1868933333333
"222","CAR-223","2015-09-10",26.70175,26.265,26.1042916666667,24.0477702702703
"223","CAR-224","2015-11-16",25.74125,25.5121428571429,25.3172083333333,24.3144864864865
"224","CAR-225","2015-12-09",25.6005,25.1417142857143,24.603625,23.6376081081081
"225","CAR-226","2016-01-13",24.1893333333333,23.8314615384615,23.6727391304348,22.1393561643836
"226","CAR-227","2016-02-04",24.1463333333333,23.7880769230769,23.461347826087,22.0716849315068
"227","CAR-228","2016-05-11",26.2965,26.1654285714286,26.1132083333333,24.7779459459459
"228","CAR-229","2016-06-07",26.912,26.8571666666667,26.4594090909091,26.0331666666667
"229","CAR-231","2016-12-21",26.5985,26.5537857142857,26.4950833333333,25.6873243243243
"230","CAR-232","2017-01-17",24.6486666666667,24.352,24.2634782608696,23.0305342465753
