"","Cruise_ID","Leg","lon","lat","Date","Day","days","Month","Year","Depth_target","Depth_real","O2_ml_L","O2_ml_L_Q","O2_umol_kg","O2_umol_kg_Q","SiOH4_Cumana","SiOH4_Cumana_Q","PO4_Cumana","PO4_Cumana_Q","NO3_Cumana","NO3_Cumana_Q","NH4","NH4_Q","NO2","NO2_Q","NO3_NO2","NO3_NO2_Q","PO4","PO4_Q","SiOH4","SiOH4_Q","pH","pH_Q","Alkalinity","Alkalinity_Q","TCO2","TCO2_Q","fCO2","fCO2_Q","sal_bot","sal_bot_Q","sal_bot_corr","sal_bot_corr_Q","sal_ctd","sal_ctd_Q","Temp","Temp_Q","Sigma_t","Sigma_t_Q","TPP","TPP_Q","PIP","PIP_Q","POC_ug_L","POC_ug_L_Q","PON_ug_L","PON_ug_L_Q","CtoN_part","CtoN_part_Q","POC_ug_kg","POC_ug_kg_Q","PON_ug_kg","PON_ug_kg_Q","DON_USF_uM","DON_USF_uM_Q","DOP_USF_uM","DOP_USF_uM_Q","DOC","DOC_Q","TOC","TOC_Q","PriPro","PriPro_Q","Chl","Chl_Q","Phaeo","Phaeo_Q"
"23","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,25,26,NA,0,"152.4",0,3.66,1,0.08,1,2.02,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002416",0,NA,0,NA,0,NA,9,NA,9,NA,0,24.68,0,24.82,0,NA,9,NA,9,NA,1,"16.21",1,NA,1,NA,1,"15.81",1,NA,9,NA,9,NA,9,NA,9,"1.76",0,0.38,0,0.42,0
"24","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,35,36,NA,0,"142.5",0,4.19,1,0.23,1,2.68,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002405",0,NA,0,NA,0,NA,9,NA,9,NA,0,24.05,0,25.045,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,"0.26",0,0.1,0,0.2,0
"25","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,55,55.5,NA,0,"144.7",0,3.98,1,0.22,1,3.77,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002414",0,NA,0,NA,0,NA,9,NA,9,NA,0,23.59,0,25.19,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,"0.00",0,0.1,0,0.2,0
"26","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,75,76,NA,0,"142.4",0,4.09,1,0.3,1,4.31,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002408",0,NA,0,NA,0,NA,9,NA,9,NA,0,22.8,0,25.43,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,"0.08",0,0.04,0,0.1,0
"27","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,100,100,NA,0,"132.9",0,5.16,1,0.41,1,5.42,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002396",0,NA,0,NA,0,NA,9,NA,9,NA,0,21.55,0,25.74,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,"0.01",0,0.01,0,0.04,0
"28","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,130,128,NA,0,"117.1",0,6.24,1,0.47,1,7.72,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002371",0,NA,0,NA,0,NA,9,NA,9,NA,0,20.52,0,25.94,0,NA,9,NA,9,"19.62",1,NA,1,NA,1,"19.15",1,NA,1,NA,9,NA,9,NA,9,NA,9,NA,9,0,0,NA,9
"29","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,160,159,"1.83",0,NA,0,11.5,1,0.91,1,8.71,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002346",0,NA,0,NA,0,NA,9,NA,9,NA,0,19.26,0,26.156,0,NA,9,NA,9,"19.04",1,NA,1,NA,1,"18.58",1,NA,1,NA,9,NA,9,NA,9,NA,9,NA,9,0,0,NA,9
"30","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,200,199,"0.58",0,NA,0,22.58,1,1.42,1,1.65,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002373",0,NA,0,NA,0,NA,9,NA,9,NA,0,18.29,0,26.31,0,NA,9,NA,9,"19.32",1,NA,1,NA,1,"18.85",1,NA,1,NA,9,NA,9,NA,9,NA,9,NA,9,0,0,NA,9
"31","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,250,250,"0.22",0,NA,0,34.83,1,9.96920996838687e+36,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002392",0,NA,0,NA,0,NA,9,NA,9,NA,0,17.93,0,26.36,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,NA,9,0,0,NA,9
"32","93HG_002",1,-64.67,10.5,1995-12-13,13,346,12,1995,300,300,"0.00",0,"0.00",0,43.97,1,2.55,1,0.91,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,"0.002415",0,NA,0,NA,0,NA,9,NA,9,NA,0,17.72,0,26.39,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,NA,9,NA,9,NA,9,0,0,NA,9
