"","Date","X.x","Cruise_ID","Leg","lon.x","lat.x","Day","days.x","Month","Year","Depth_target","Depth_real","O2_ml_L","O2_ml_L_Q","O2_umol_kg","O2_umol_kg_Q","SiOH4_Cumana","SiOH4_Cumana_Q","PO4_Cumana","PO4_Cumana_Q","NO3_Cumana","NO3_Cumana_Q","NH4","NH4_Q","NO2","NO2_Q","NO3_NO2","NO3_NO2_Q","PO4","PO4_Q","SiOH4","SiOH4_Q","pH","pH_Q","Alkalinity","Alkalinity_Q","TCO2","TCO2_Q","fCO2","fCO2_Q","sal_bot","sal_bot_Q","sal_bot_corr","sal_bot_corr_Q","sal_ctd","sal_ctd_Q","Temp","Temp_Q","Sigma_t","Sigma_t_Q","TPP","TPP_Q","PIP","PIP_Q","POC_ug_L","POC_ug_L_Q","PON_ug_L","PON_ug_L_Q","CtoN_part","CtoN_part_Q","POC_ug_kg","POC_ug_kg_Q","PON_ug_kg","PON_ug_kg_Q","DON_USF_uM","DON_USF_uM_Q","DOP_USF_uM","DOP_USF_uM_Q","DOC","DOC_Q","TOC","TOC_Q","PriPro","PriPro_Q","Chl","Chl_Q","Phaeo","Phaeo_Q","X.1","X.y","CruiseID","month","days.y","press","lat.y","lon.y","sigma_t","sigma_0","potemp","sal","temp","beam_att","beam_cp","fluor_chla","belowmld","depthdiff"
"21",1997-07-08,400,"93HG_021",1,-64.67,10.5,8,188,7,1997,15,15.244,NA,0,149,0,2.81,1,0.33,1,5.81,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.00241,0,NA,0,NA,0,36.99,0,NA,9,NA,0,22.649,0,25.5632,0,NA,9,NA,9,186.59,1,NA,1,NA,1,182.1,1,NA,1,NA,9,NA,9,NA,9,NA,9,1.81,0,0.61,0,0.58,0,21,22203,"93HG_021",7,188,10.083,10.5,-64.67,25.417,25.418,23.191,37.027,23.193,0.821,NA,0.683,TRUE,-5.161
"22",1997-08-17,420,"93HG_022",1,-64.67,10.5,17,228,8,1997,15,15.609,NA,9,NA,9,2.86,1,9.96920996838687e+36,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.002414,0,NA,0,NA,0,36.839,0,NA,9,NA,8,22.112,0,25.5816,8,NA,9,NA,9,176.64,1,NA,1,NA,1,172.38,1,NA,1,NA,9,NA,9,79,1,NA,9,NA,0,0.4,0,0.32,0,22,23572,"93HG_022",8,228,9.062,10.5,-64.67,25.479,25.479,22.637,36.896,22.639,0.475,NA,0.165,TRUE,-6.547
"23",1997-09-17,441,"93HG_023",1,-64.67,10.5,17,259,9,1997,25,24.941,NA,0,193.86,0,3,1,9.96920996838687e+36,9,0.99,1,0.03,0,0.02,0,0,0,0.08,0,1.54,0,NA,0,0.002381,0,NA,0,NA,0,36.392,0,NA,9,NA,0,25.385,0,24.3309,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,83,1,NA,9,0.94,0,0.14,0,0.15,0,23,24931,"93HG_023",9,259,17.112,10.5,-64.67,23.782,23.784,26.987,36.406,26.991,0.467,NA,0.081,TRUE,-7.829
"24",1997-10-14,460,"93HG_024",1,-64.67,10.5,14,286,10,1997,15,14.959,NA,9,NA,9,2.85,1,9.96920996838687e+36,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.002403,0,NA,0,NA,0,36.624,0,NA,9,NA,9,26.29,0,24.17,0,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,NA,9,84,8,NA,9,1.03,0,0.15,0,0.14,0,24,26250,"93HG_024",10,286,11.016,10.5,-64.67,23.774,23.775,27.334,36.543,27.337,0.434,NA,0.182,TRUE,-3.943
"25",1997-11-13,481,"93HG_025",2,-64.67,10.5,13,316,11,1997,25,24.895,NA,0,184.5,0,5.18,1,9.96920996838687e+36,9,NA,9,0,0,0.02,0,0.13,0,0.16,0,1.75,0,NA,0,0.002411,0,NA,0,NA,0,36.646,0,NA,9,NA,0,25.131,0,24.5641,0,NA,9,NA,9,110.12,1,13.97,1,NA,1,107.47,1,13.63,1,NA,9,NA,9,86,1,NA,9,0.35,0,0.28,0,0.29,0,25,27597,"93HG_025",11,316,17.137,10.5,-64.67,24.3,24.301,25.904,36.637,25.908,0.465,NA,0.162,TRUE,-7.758
"26",1997-12-17,500,"93HG_026",1,-64.67,10.5,17,350,12,1997,15,15.129,NA,0,193.3,0,3.6,1,0.02,1,0.61,1,NA,9,NA,9,NA,9,NA,9,NA,9,NA,0,0.002417,0,NA,0,NA,0,36.837,8,NA,0,NA,0,22.969,0,25.3166,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,173,8,NA,9,NA,0,1.53,0,1.37,0,26,28915,"93HG_026",12,350,14.059,10.5,-64.67,25.175,25.175,23.487,36.824,23.49,0.87,NA,1.149,TRUE,-1.07
"27",1998-02-11,541,"93HG_028",1,-64.67,10.5,11,41,2,1998,25,25.327,NA,0,187.4,0,NA,9,9.96920996838687e+36,9,NA,9,1.12,0,0.11,0,0.94,0,0.09,0,0,0,NA,0,0.002416,0,NA,0,NA,0,36.914,0,NA,9,NA,0,23.782,0,25.2034,0,NA,9,NA,9,NA,1,NA,1,NA,1,NA,1,NA,1,NA,9,NA,9,157,8,NA,9,1.11,0,0.51,0,0.42,0,28,31585,"93HG_028",2,41,22.123,10.5,-64.67,24.7,24.702,25.308,36.922,25.313,0.492,NA,1.091,TRUE,-3.204
"28",1998-03-12,558,"93HG_029",2,-64.67,10.5,12,70,3,1998,35,34.883,NA,0,133.3,0,NA,9,9.96920996838687e+36,9,NA,9,0.45,0,0.42,0,NA,0,0.53,0,NA,0,NA,0,0.002396,0,NA,0,NA,0,36.835,0,NA,9,NA,0,21.196,0,25.8368,0,NA,9,NA,9,NA,1,11.67,1,NA,1,NA,1,11.39,1,NA,9,NA,9,173,8,NA,9,0.09,0,0.18,0,0.24,0,29,32162,"93HG_029",3,70,33.123,10.5,-64.67,25.79,25.792,21.485,36.879,21.491,NA,NA,0.14,TRUE,-1.76000000000001
"29",1998-04-21,578,"93HG_030",1,-64.67,10.5,21,110,4,1998,15,14.728,NA,0,194.2,0,NA,9,9.96920996838687e+36,9,NA,9,0,0,0.04,0,0.35,0,0.07,0,0.58,0,NA,0,0.00242,0,NA,0,NA,0,36.883,0,NA,9,NA,0,24.108,0,25.0658,0,NA,9,NA,9,NA,1,11.93,1,NA,1,NA,1,11.64,1,NA,9,NA,9,2221,8,NA,9,0.73,0,0.32,0,0.16,0,30,33453,"93HG_030",4,110,12.121,10.5,-64.67,24.664,24.665,25.373,36.903,25.376,NA,NA,0.222,TRUE,-2.607
"30",1998-06-09,599,"93HG_031",2,-64.67,10.5,9,159,6,1998,25,24.943,NA,0,194,0,NA,9,9.96920996838687e+36,9,NA,9,0.06,0,0.51,0,0.03,0,0.05,0,0,0,NA,0,0.002412,0,NA,0,NA,0,36.903,0,NA,9,NA,0,24.073,0,25.0658,0,NA,9,NA,9,113,1,13.05,1,10.1,1,110.28,1,12.73,1,NA,9,NA,9,99,8,NA,9,NA,0,0.43,0,0.4,0,31,34770,"93HG_031",6,159,16.085,10.5,-64.67,24.701,24.701,25.195,36.876,25.199,0.521,NA,0.382,TRUE,-8.858
