"","date","Tchla","Prasino3","Dino1","Crypto1","Hapto6","Chloro1","Cyano4","Diatom1"
"130",2013-03-05,33.34,3.38,1.39,2.67,16.6,0.2,1.86,7.24
"131",2013-04-09,41.34,3.95,0.55,1.5,18.58,0.08,2.04,14.63
"132",2013-05-09,37.04,4.77,1.21,2.33,20.99,0.12,5.45,2.18
"133",2013-06-11,39.75,4.45,0.97,1.29,24.87,0.02,8.09,0.06
"134",2013-07-11,31.42,3.5,0.61,1.49,17.66,0,6.41,1.73
"135",2013-08-13,30.37,2.94,0.99,1.11,19.82,0.22,4.27,1.03
"136",2013-09-11,27.93,1.38,0.48,0.28,14.84,0.03,8.63,2.28
"137",2013-10-08,38.78,3.92,0.79,0,28.57,0,5.42,0.08
"138",2013-11-13,27.28,2.32,0.59,0.54,15.79,0.01,7.59,0.46
"139",2013-12-04,20.37,2.18,0.63,0.45,10.07,0.02,6.87,0.16
"140",2014-01-14,37.04,0.51,0.68,0.94,8.89,0.24,0.66,25.13
"141",2014-02-04,137.65,0.77,3.07,2.29,9.83,0.43,0.62,120.62
"142",2014-03-10,46.78,0.59,0.8,2.06,11.64,0.98,3.81,26.88
"143",2014-04-01,81.62,1.89,2,4.03,23.52,0.22,1.63,48.34
"144",2014-05-06,296.77,0.26,1.48,4.12,17.41,21.84,2.57,249.09
"145",2014-06-13,53.57,2.55,1.13,1.91,17.35,0.27,2.48,27.89
"146",2014-09-03,28.71,4.36,0.7,0.31,13.85,0.01,6.15,3.34
"147",2014-10-07,24.01,3.86,0.53,0.21,11.2,0,4.87,3.35
"148",2014-11-12,28.56,4.77,0.65,1.55,15.64,0,4.79,1.16
"149",2014-12-09,70.19,4.26,2.19,2.4,19.49,0.39,2.78,38.66
"150",2015-02-15,37.69,2.73,0.95,3.77,21.82,0.21,4.82,3.38
"151",2015-04-14,66.98,2.48,0.97,1.04,16.13,0.18,0.99,45.17
"152",2015-07-29,21.82,1.54,1.24,0.53,12.98,0.33,3.48,1.72
"153",2015-08-17,30.27,2.75,0.96,2.34,13.15,0.02,3.87,7.17
"154",2015-09-10,31.5,2.09,0.74,0.95,17.65,0.08,9.66,0.35
"155",2015-11-16,31.99,2.83,0.65,1.28,14.88,0.4,3.72,8.22
"156",2015-12-09,22.82,2.23,0.61,1.88,9.08,0.21,4.92,3.9
"157",2016-01-12,66.31,3.74,1.21,3.22,14.02,0.21,1.49,42.42
"158",2016-02-04,44.41,1.72,0.93,1.97,14.52,0.32,1.3,23.64
"159",2016-05-10,43.14,5.19,1.49,2.63,22.28,0.13,7.42,4.01
"160",2016-06-07,37.26,4.42,2.18,3.66,16.21,0,8.68,2.09
"161",2016-09-20,31.38,2.23,0.88,1,11.8,0.04,6.69,8.74
"162",2016-12-21,32.23,1.08,0.78,1.6,9.7,0.63,3.15,15.27
"163",2017-01-12,51.42,0.56,0.39,1.59,10.57,0.71,2.07,35.52
