Cruise,Leg,Day,Month,Year,Depth_target,Depth_real,O2_ml_L,O2_umol_kg,SiOH4_Cumana,  PO4_Cumana,NO3_Cumana,NH4 ,NO2 ,NO3NO2 ,PO4,SiOH4,pH,Alkalinity,TCO2,fCO2,Salinity_bott,Salinity_bottcorr,Salinity_ctd,Temp_ctd,Sigma-t_ctd,TPP,PIP,POC,PN,C/N part.,POC,PN,DON_USF,DOP_USF,DOC,TOC,PriPro,Chl,Phaeo,,
002,1,13,12,1995,400,395.0,0.00,0.00,55.90,2.83,0.27,-9999,-9999,-9999,-9999,-9999,7.6334,0.002417,2298.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.48,5.57,5.13,23.89,5.43,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,
002,1,13,12,1995,500,494.0,0.00,0.00,64.50,3.06,0.45,-9999,-9999,-9999,-9999,-9999,7.6213,0.002448,2333.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,21.22,4.78,5.18,20.70,4.66,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,
002,1,13,12,1995,750,744.0,0.00,0.00,82.56,3.38,0.40,-9999,-9999,-9999,-9999,-9999,7.5867,0.002456,2354.5,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,23.26,5.35,5.07,22.70,5.22,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,
002,1,13,12,1995,1000,992.0,0.00,0.00,87.72,3.51,0.32,-9999,-9999,-9999,-9999,-9999,7.5897,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27.31,5.14,6.20,26.65,5.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,
002,1,13,12,1995,1200,1202.0,0.00,0.00,86.86,3.62,0.36,-9999,-9999,-9999,-9999,-9999,7.5747,0.002467,2369.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,27.89,5.14,6.34,27.22,5.01,-9999,-9999,-9999,-9999,-9999,-9999,-9999,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
003,1,12,01,1996,1,1.5,4.66,203.27,1.08,0.09,4.57,-9999,-9999,-9999,-9999,-9999,8.0603,0.002428,2091.8,386.7,36.922,-9999,-9999,24.480,24.9550,-9999,-9999,395.02,46.63,9.88,385.50,45.51,-9999,-9999,109,-9999,16.25,1.40,0.69,,
003,1,12,01,1996,7,9.0,4.68,203.99,2.75,0.11,1.95,-9999,-9999,-9999,-9999,-9999,8.0610,0.002426,2089.5,378.5,36.920,-9999,-9999,24.020,25.0900,-9999,-9999,112.30,14.51,9.03,109.59,14.16,-9999,-9999,106,-9999,11.79,1.37,0.66,,
003,1,12,01,1996,15,16.0,4.29,186.81,3.00,0.10,2.29,-9999,-9999,-9999,-9999,-9999,8.0385,0.002430,2107.7,401.5,36.952,-9999,-9999,23.840,25.1500,-9999,-9999,311.98,51.87,7.02,304.46,50.62,-9999,-9999,78,-9999,3.99,1.33,0.64,,
003,1,12,01,1996,25,26.5,3.94,171.62,3.42,0.15,2.46,-9999,-9999,-9999,-9999,-9999,8.0189,0.002430,2119.6,422.7,36.925,-9999,-9999,23.740,25.1800,-9999,-9999,68.08,14.64,5.43,66.44,14.29,-9999,-9999,74,-9999,0.83,1.74,0.81,,
003,1,12,01,1996,35,36.0,2.96,128.81,5.42,0.23,3.26,-9999,-9999,-9999,-9999,-9999,7.9770,0.002409,2125.7,465.3,36.893,-9999,-9999,23.420,25.2500,-9999,-9999,73.90,15.78,5.46,72.12,15.40,-9999,-9999,75,-9999,0.07,0.50,0.46,,
003,1,12,01,1996,55,55.0,3.15,137.23,5.42,0.32,9.77,-9999,-9999,-9999,-9999,-9999,7.9707,0.002418,2137.4,455.9,36.887,-9999,-9999,22.380,25.5500,-9999,-9999,31.37,7.51,4.87,30.61,7.33,-9999,-9999,100,-9999,0.02,0.10,0.16,,
003,1,12,01,1996,75,72.5,3.00,130.74,5.75,0.45,11.46,-9999,-9999,-9999,-9999,-9999,7.9543,0.002406,2136.0,460.4,36.856,-9999,-9999,21.610,25.7400,-9999,-9999,21.53,5.49,4.57,21.01,5.36,-9999,-9999,70,-9999,0.11,0.05,0.06,,
003,1,12,01,1996,100,95.5,2.93,127.75,6.33,0.52,12.70,-9999,-9999,-9999,-9999,-9999,7.9388,0.002406,2144.8,472.3,36.828,-9999,-9999,21.170,25.8400,-9999,-9999,21.55,4.89,5.15,21.03,4.77,-9999,-9999,69,-9999,0.02,0.04,0.06,,
003,1,12,01,1996,130,120.0,2.75,119.53,7.17,0.66,15.47,-9999,-9999,-9999,-9999,-9999,7.9171,0.002412,2162.7,489.7,36.745,-9999,36.729,20.510,25.9500,-9999,-9999,16.61,3.54,5.47,16.20,3.45,-9999,-9999,62,-9999,-9999,-9999,-9999,,
003,1,12,01,1996,160,144.0,2.39,104.10,9.83,0.80,18.42,-9999,-9999,-9999,-9999,-9999,7.8879,0.002432,2197.4,516.6,36.663,-9999,36.622,19.630,26.1000,-9999,-9999,17.15,3.81,5.25,16.73,3.72,-9999,-9999,64,-9999,-9999,-9999,-9999,,
003,1,12,01,1996,200,179.0,0.94,40.70,18.42,1.38,20.78,-9999,-9999,-9999,-9999,-9999,7.7491,0.002410,2244.3,712.6,36.490,-9999,36.469,18.540,26.2600,-9999,-9999,12.77,3.48,4.29,12.46,3.39,-9999,-9999,64,-9999,-9999,-9999,-9999,,
003,1,12,01,1996,250,225.0,0.10,4.41,31.33,1.54,7.04,-9999,-9999,-9999,-9999,-9999,7.6696,0.002398,2267.0,855.9,36.415,-9999,36.406,17.980,26.3550,-9999,-9999,22.94,5.09,5.26,22.39,4.97,-9999,-9999,58,-9999,-9999,-9999,-9999,,
003,1,12,01,1996,300,270.0,0.00,0.00,38.67,2.45,1.79,-9999,-9999,-9999,-9999,-9999,7.6652,0.002419,2288.1,867.0,36.390,-9999,36.381,17.800,26.3800,-9999,-9999,30.78,7.38,4.87,30.04,7.20,-9999,-9999,76,-9999,-9999,-9999,-9999,,
003,1,12,01,1996,350,311.0,0.00,0.00,44.00,2.67,1.43,-9999,-9999,-9999,-9999,-9999,7.6564,-9999,-9999,-9999,36.366,-9999,36.368,17.690,-9999,-9999,-9999,21.81,4.96,5.13,21.28,4.84,-9999,-9999,69,-9999,-9999,-9999,-9999,,
003,1,12,01,1996,400,354.0,0.00,0.00,53.67,2.85,1.59,-9999,-9999,-9999,-9999,-9999,7.6421,0.002426,2304.1,-9999,36.345,-9999,-9999,-9999,-9999,-9999,-9999,25.46,5.36,5.55,24.84,5.23,-9999,-9999,61,-9999,-9999,-9999,-9999,,
003,1,12,01,1996,500,436.0,-9999,-9999,55.33,3.05,1.59,-9999,-9999,-9999,-9999,-9999,7.6302,0.002437,2319.3,-9999,36.306,-9999,-9999,-9999,-9999,-9999,-9999,23.34,4.75,5.73,22.78,4.64,-9999,-9999,67,-9999,-9999,-9999,-9999,,
003,1,12,01,1996,750,656.0,-9999,-9999,76.83,3.42,1.51,-9999,-9999,-9999,-9999,-9999,7.6132,0.002456,2344.4,-9999,36.241,-9999,-9999,-9999,-9999,-9999,-9999,16.30,3.81,4.99,15.90,3.72,-9999,-9999,79,-9999,-9999,-9999,-9999,,
003,1,12,01,1996,1000,899.0,-9999,-9999,84.00,3.51,1.41,-9999,-9999,-9999,-9999,-9999,7.6038,0.002452,2343.8,-9999,36.228,-9999,-9999,-9999,-9999,-9999,-9999,22.09,5.02,5.13,21.56,4.90,-9999,-9999,71,-9999,-9999,-9999,-9999,,
003,1,12,01,1996,1200,1105.0,-9999,-9999,86.33,3.60,1.41,-9999,-9999,-9999,-9999,-9999,7.5846,0.002463,2362.4,-9999,36.224,-9999,-9999,-9999,-9999,-9999,-9999,17.83,4.01,5.19,17.40,3.91,-9999,-9999,72,-9999,-9999,-9999,-9999,,
