"","PAR","month","yday"
"96",48.4359991895035,"11",318
"97",49.1099992215168,"11",318
"98",48.6679992005229,"11",318
"99",48.1119991741143,"11",318
"100",47.5699991483707,"11",318
"101",45.0659990294371,"12",348
"102",45.089999030577,"12",348
"103",45.3559990432113,"12",348
"104",45.6439990568906,"12",348
"105",44.1519989860244,"12",348
"106",44.2599989911541,"12",348
"107",44.693999011768,"12",348
"108",45.7899990638252,"12",348
"109",44.8159990175627,"12",348
"110",44.8979990214575,"12",348
"111",45.0119990268722,"12",348
"112",45.877999068005,"12",348
"113",45.6559990574606,"12",348
"114",45.6319990563206,"12",348
"115",44.9699990248773,"12",348
"116",44.7679990152828,"12",348
"117",45.5419990520459,"12",348
"118",45.3679990437813,"12",348
"119",45.0599990291521,"12",348
"120",45.5539990526158,"12",348
"121",48.0339991704095,"01",14
"122",48.0319991703145,"01",14
"123",47.9119991646148,"01",14
"124",47.5959991496056,"01",14
"125",48.2919991826639,"01",14
"126",48.0479991710745,"01",14
"127",47.8779991629999,"01",14
"128",47.4799991440959,"01",14
"129",48.2099991787691,"01",14
"130",48.0759991724044,"01",14
"131",47.2719991342165,"01",14
"132",47.5159991458058,"01",14
"133",47.6699991531204,"01",14
"134",47.9319991655648,"01",14
"135",47.6979991544504,"01",14
"136",47.6899991540704,"01",14
"137",48.0039991689846,"01",14
"138",47.82999916072,"01",14
"139",47.9839991680346,"01",14
"140",47.5559991477057,"01",14
"141",52.545999384718,"02",45
"142",52.5119993831031,"02",45
"143",52.4899993820582,"02",45
"144",52.4979993824381,"02",45
"145",52.4779993814882,"02",45
"146",52.559999385383,"02",45
"147",52.543999384623,"02",45
"148",52.4959993823431,"02",45
"149",52.3539993755985,"02",45
"150",52.157999366289,"02",45
"151",52.3899993773084,"02",45
"152",52.5219993835781,"02",45
"153",52.3239993741736,"02",45
"154",52.1259993647691,"02",45
"155",52.0739993622992,"02",45
"156",52.2359993699938,"02",45
"157",52.0219993598294,"02",45
"158",52.2659993714187,"02",45
"159",52.3239993741736,"02",45
"160",52.0019993588794,"02",45
"161",53.1079994114116,"03",73
"162",52.7359993937425,"03",73
"163",52.5299993839581,"03",73
"164",52.6259993885178,"03",73
"165",52.9699994048569,"03",73
"166",52.7939993964974,"03",73
"167",52.8239993979223,"03",73
"168",52.5219993835781,"03",73
"169",52.1919993679039,"03",73
"170",52.0999993635342,"03",73
"171",52.5219993835781,"03",73
"172",52.4659993809182,"03",73
"173",51.7899993488099,"03",73
"174",52.0519993612543,"03",73
"175",52.2319993698038,"03",73
"176",52.3699993763585,"03",73
"177",51.4819993341807,"03",73
"178",51.9979993586894,"03",73
"179",50.6539992948528,"03",73
"180",50.583999291528,"03",73
"181",56.9019995916169,"04",104
"182",57.1779996047262,"04",104
"183",57.1899996052962,"04",104
"184",57.1079996014014,"04",104
"185",56.6379995790776,"04",104
"186",56.5979995771777,"04",104
"187",56.5919995768927,"04",104
"188",56.7439995841123,"04",104
"189",56.5819995764177,"04",104
"190",56.853999589337,"04",104
"191",56.5079995729029,"04",104
"192",56.3179995638784,"04",104
"193",56.6719995806925,"04",104
"194",56.7759995856322,"04",104
"195",56.1699995568488,"04",104
"196",55.6079995301552,"04",104
"197",56.4539995703381,"04",104
"198",55.5639995280653,"04",104
"199",55.69799953443,"04",104
"200",54.9959995010868,"04",104
"201",57.0519995987415,"05",134
"202",56.9139995921869,"05",134
"203",56.6619995802175,"05",134
"204",55.0439995033666,"05",134
"205",56.5759995761327,"05",134
"206",56.9579995942768,"05",134
"207",56.8439995888621,"05",134
"208",56.883999590762,"05",134
"209",56.4219995688181,"05",134
"210",56.1939995579887,"05",134
"211",56.6239995784126,"05",134
"212",57.0939996007364,"05",134
"213",55.8059995395597,"05",134
"214",54.3719994714484,"05",134
"215",54.6039994824678,"05",134
"216",55.5939995294902,"05",134
"217",55.6219995308202,"05",134
"218",54.9719994999468,"05",134
"219",55.9639995470643,"05",134
"220",56.6099995777477,"05",134
"221",56.1939995579887,"06",165
"222",55.3979995201807,"06",165
"223",54.8659994949121,"06",165
"224",55.2019995108712,"06",165
"225",55.281999514671,"06",165
"226",54.5819994814228,"06",165
"227",54.0239994549192,"06",165
"228",53.5979994346853,"06",165
"229",55.69799953443,"06",165
"230",55.9419995460194,"06",165
"231",54.3899994723033,"06",165
"232",53.0699994096067,"06",165
"233",54.3819994719233,"06",165
"234",54.497999477433,"06",165
"235",54.3299994694535,"06",165
"236",52.7559993946925,"06",165
"237",53.4199994262308,"06",165
"238",54.133999460144,"06",165
"239",53.4459994274657,"06",165
"240",53.1719994144514,"06",165
"241",55.4679995235056,"07",195
"242",55.699999534525,"07",195
"243",55.1819995099213,"07",195
"244",53.345999422716,"07",195
"245",55.8459995414596,"07",195
"246",55.5979995296802,"07",195
"247",55.2219995118212,"07",195
"248",54.7899994913023,"07",195
"249",54.5759994811378,"07",195
"250",54.8839994957671,"07",195
"251",54.8099994922522,"07",195
"252",53.5559994326904,"07",195
"253",54.6939994867425,"07",195
"254",54.2679994665086,"07",195
"255",54.5919994818978,"07",195
"256",53.2639994188212,"07",195
"257",55.0219995023217,"07",195
"258",53.1539994135965,"07",195
"259",53.4919994296506,"07",195
"260",52.5319993840531,"07",195
"261",56.0559995514341,"08",226
"262",55.7659995376598,"08",226
"263",55.7879995387048,"08",226
"264",55.8519995417446,"08",226
"265",56.0499995511491,"08",226
"266",56.1479995558038,"08",226
"267",56.0319995502941,"08",226
"268",56.1179995543789,"08",226
"269",56.2459995604586,"08",226
"270",55.7219995355699,"08",226
"271",56.4199995687231,"08",226
"272",56.5239995736629,"08",226
"273",56.0379995505791,"08",226
"274",56.2319995597936,"08",226
"275",56.3819995669182,"08",226
"276",55.9739995475393,"08",226
"277",56.3059995633084,"08",226
"278",55.1899995103013,"08",226
"279",55.309999516001,"08",226
"280",53.4419994272757,"08",226
"281",55.5579995277803,"09",257
"282",55.3699995188508,"09",257
"283",55.6299995312002,"09",257
"284",55.313999516191,"09",257
"285",55.5019995251205,"09",257
"286",56.3579995657783,"09",257
"287",55.7679995377548,"09",257
"288",55.3199995164759,"09",257
"289",55.4679995235056,"09",257
"290",55.5939995294902,"09",257
"291",55.5259995262604,"09",257
"292",55.0059995015617,"09",257
"293",55.8719995426945,"09",257
"294",55.0159995020367,"09",257
"295",55.1299995074514,"09",257
"296",55.1439995081164,"09",257
"297",54.8759994953871,"09",257
"298",54.2859994673636,"09",257
"299",52.7439993941225,"09",257
"300",52.4339993793983,"09",257
"301",50.1779992722441,"10",287
"302",49.5879992442206,"10",287
"303",49.3819992344361,"10",287
"304",49.2539992283564,"10",287
"305",51.0599993141368,"10",287
"306",50.7579992997926,"10",287
"307",50.0239992649294,"10",287
"308",48.7639992050827,"10",287
"309",51.3039993257262,"10",287
"310",51.1799993198365,"10",287
"311",50.4679992860183,"10",287
"312",48.2159991790541,"10",287
"313",51.0879993154667,"10",287
"314",49.8679992575198,"10",287
"315",48.7219992030878,"10",287
"316",47.6459991519805,"10",287
"317",51.1239993171766,"10",287
"318",49.8299992557149,"10",287
"319",47.6119991503656,"10",287
"320",46.9499991189223,"10",287
"321",49.3399992324412,"11",318
"322",49.005999216577,"11",318
"323",48.8579992095474,"11",318
"324",48.9539992141072,"11",318
"325",49.3879992347211,"11",318
"326",48.7819992059376,"11",318
"327",49.1459992232267,"11",318
"328",49.2419992277864,"11",318
"329",49.403999235481,"11",318
"330",49.1779992247466,"11",318
"331",49.037999218097,"11",318
"332",49.2399992276914,"11",318
"333",49.4939992397558,"11",318
"334",49.3799992343411,"11",318
"335",49.021999217337,"11",318
"336",48.5859991966281,"11",318
"337",49.2999992305413,"11",318
"338",48.7779992057476,"11",318
"339",47.433999141911,"11",318
"340",46.267999086529,"11",318
"341",45.4679990485311,"12",348
"342",45.6819990586955,"12",348
"343",45.5419990520459,"12",348
"344",45.077999030007,"12",348
"345",45.0699990296271,"12",348
"346",45.485999049386,"12",348
"347",45.6239990559407,"12",348
"348",44.8319990183227,"12",348
"349",45.4159990460612,"12",348
"350",45.0579990290571,"12",348
"351",44.6399990092032,"12",348
"352",44.5619990054984,"12",348
"353",44.7999990168028,"12",348
"354",44.697999011958,"12",348
"355",44.7679990152828,"12",348
"356",44.4839990017936,"12",348
"357",44.9019990216475,"12",348
"358",44.5559990052134,"12",348
"359",44.6499990096781,"12",348
"360",43.8579989720602,"12",348
"361",43.515998955816,"12",348
