unlimited,Cruise_number,Cruise_ID_1,Cruise_ID_2,Leg,Day,Month,Year,Latitude,Longitude,Hydro_cast_no,Depth_target,Depth_real,O2_ml_L,q_O2_ml_L,O2_umol_kg,q_O2_umol_kg,NO3_UDO,q_NO3_UDO,PO4_UDO,q_PO4_UDO,SiO4_UDO,q_SiO4_UDO,NH4_USF,q_NH4_USF,NO2_USF,q_NO2_USF,NO3_NO2_USF,q_NO3_NO3_USF,PO4_USF,q_PO4_USF,SiO4_USF,q_SiO4_USF,pH,q_pH,Alkalinity_mol_kg,q_Alkalinity_mol_kg,Alkalinity_umol_kg,q_Alkalinity_umol_kg,TCO2,q_TCO2,fCO2,q_fCO2,pH_corrected,q_pH_corrected,TCO2_corrected,q_TCO2_corrected,fCO2_corrected,q_fCO2_corrected,Salinity_bottles,q_Salinity_bottles,Salinity_CTD,q_Salinity_CTD,Temperature,q_Temperature,Sigma_t,q_Sigma_t,TPP,q_TPP,PIP,q_PIP,POC_ug_kg,q_POC_ug_kg,PON_ug_kg,q_PON_ug_kg,POC_ug_L,q_POC_ug_L,PN_ug_L,q_PN_ug_L,C_N_particulate,q_C_N_particulate,DON,q_DON,DOP,q_DOP,DOC,q_DOC,TOC,q_TOC,PrimaryProductivity,q_PrimaryProductivity,Chlorophyll,q_Chlorophyll,Phaeopigments,q_Phaeopigments,Total_Prokaryotes,Bact_Biomass_mgC_m3,Bact_Biomass_uMC,Bio_cast_no,ISO_DateTime_start_hc_local,ISO_DateTime_end_hc_local,ISO_DateTime_start_bc_local,ISO_DateTime_end_bc_local,ISO_DateTime_start_hc_UTC,ISO_DateTime_end_hc_UTC,ISO_DateTime_start_bc_UTC,ISO_DateTime_end_bc_UTC
594,30,93HG_030,CAR-030,1,21,4,1998,10.5,-64.667,2.0,1310.0,1310.73,,b'0',,b'0',,b'0',,b'0',,b'0',18.6449,b'1',0.0,b'0',0.08753630000000001,b'0',2.85649,b'1',59.3371,b'1',7.5863,b'0',0.002473,b'0',2473.0,b'0',2371.1,b'0',1063.2,b'0',7.5905,b'0',2369.48,b'0',1051.51,b'0',36.229,b'0',36.2269,b'0',17.1571,b'0',26.4197,b'0',,b'0',,b'0',58.1817,b'0',6.4305699999999995,b'0',10.5556,b'0',56.7793,b'0',6.27556,b'0',,b'0',,b'0',66.6677,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1998-04-21 15:38:00,1998-04-21 16:51:00,,,1998-04-21 19:38:00,1998-04-21 20:51:00,,
595,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,1.0,1.0,2.432,4.5385800000000005,b'0',197.94,b'0',,b'0',,b'0',,b'0',0.022151900000000002,b'0',0.0193643,b'0',0.104833,b'0',0.0700054,b'0',0.0,b'0',8.0632,b'0',0.00241551,b'0',2415.51,b'0',2079.0,b'0',421.7,b'0',8.069980000000001,b'0',2074.69,b'0',418.344,b'0',36.883,b'0',36.8671,b'0',27.2875,b'0',24.0339,b'0',,b'0',,b'0',79.2458,b'0',4.84623,b'0',19.0774,b'0',77.3356,b'0',4.72941,b'0',,b'0',,b'0',132.819,b'1',,b'0',1.68125,b'0',0.20782399999999998,b'0',0.152929,b'0',,,,4.0,1998-06-09 12:40:00,1998-06-09 13:15:00,1998-06-09 05:34:00,1998-06-09 06:00:00,1998-06-09 16:40:00,1998-06-09 17:15:00,1998-06-09 09:34:00,1998-06-09 10:00:00
596,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,1.0,7.0,7.103,4.63868,b'0',202.201,b'0',,b'0',,b'0',,b'0',0.0,b'0',0.06893450000000001,b'0',0.102979,b'0',0.0631072,b'0',-0.00401398,b'0',8.0629,b'0',0.00242581,b'0',2425.81,b'0',2088.7,b'0',401.8,b'0',8.070210000000001,b'0',2083.95,b'0',393.55400000000003,b'0',36.865,b'0',36.8786,b'0',25.6446,b'0',24.5647,b'0',,b'0',,b'0',68.038,b'0',3.3550800000000005,b'0',23.6589,b'0',66.3979,b'0',3.27421,b'0',,b'0',,b'0',151.721,b'1',,b'0',1.40313,b'0',0.183091,b'0',0.152929,b'0',,,,4.0,1998-06-09 12:40:00,1998-06-09 13:15:00,1998-06-09 05:34:00,1998-06-09 06:00:00,1998-06-09 16:40:00,1998-06-09 17:15:00,1998-06-09 09:34:00,1998-06-09 10:00:00
597,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,1.0,15.0,15.057,4.53501,b'0',197.66,b'0',,b'0',,b'0',,b'0',0.146671,b'0',0.0360396,b'0',0.0707731,b'0',0.0634976,b'0',-0.000696894,b'0',8.0638,b'0',0.00238893,b'0',2388.93,b'0',2054.8,b'0',388.9,b'0',8.07108,b'0',2050.17,b'0',380.907,b'0',36.871,b'0',36.8846,b'0',25.2912,b'0',24.679000000000002,b'0',,b'0',,b'0',101.134,b'0',13.0475,b'0',9.04306,b'0',98.6962,b'0',12.732999999999999,b'0',,b'0',,b'0',88.9498,b'1',,b'0',1.8290799999999998,b'0',0.27,b'0',0.189933,b'0',,,,4.0,1998-06-09 12:40:00,1998-06-09 13:15:00,1998-06-09 05:34:00,1998-06-09 06:00:00,1998-06-09 16:40:00,1998-06-09 17:15:00,1998-06-09 09:34:00,1998-06-09 10:00:00
598,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,1.0,25.0,24.943,4.45442,b'0',194.074,b'0',,b'0',,b'0',,b'0',0.057090699999999994,b'0',0.513366,b'0',0.0324837,b'0',0.0519994,b'0',0.0,b'0',8.0509,b'0',0.00241235,b'0',2412.35,b'0',2083.9,b'0',388.2,b'0',8.05797,b'0',2079.43,b'0',380.471,b'0',36.903,b'0',36.9075,b'0',24.073,b'0',25.0658,b'0',,b'0',,b'0',113.001,b'0',13.0475,b'0',10.1042,b'0',110.277,b'0',12.732999999999999,b'0',,b'0',,b'0',99.2918,b'1',,b'0',2.46496,b'0',0.42624799999999996,b'0',0.402142,b'0',,,,4.0,1998-06-09 12:40:00,1998-06-09 13:15:00,1998-06-09 05:34:00,1998-06-09 06:00:00,1998-06-09 16:40:00,1998-06-09 17:15:00,1998-06-09 09:34:00,1998-06-09 10:00:00
599,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,1.0,35.0,34.851,4.29251,b'0',187.007,b'0',,b'0',,b'0',,b'0',0.436363,b'0',0.041483,b'1',0.0418491,b'0',0.059217099999999995,b'0',0.143788,b'0',8.0386,b'0',0.00242697,b'0',2426.97,b'0',2104.9,b'0',400.4,b'0',8.04541,b'0',2100.63,b'0',392.78,b'0',36.900999999999996,b'0',36.8989,b'0',23.8142,b'0',25.1371,b'0',,b'0',,b'0',178.732,b'0',25.3495,b'0',8.225810000000001,b'0',174.423,b'0',24.7384,b'0',,b'0',,b'0',133.929,b'1',,b'0',3.49,b'0',1.54824,b'0',1.38266,b'0',,,,4.0,1998-06-09 12:40:00,1998-06-09 13:15:00,1998-06-09 05:34:00,1998-06-09 06:00:00,1998-06-09 16:40:00,1998-06-09 17:15:00,1998-06-09 09:34:00,1998-06-09 10:00:00
600,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,1.0,55.0,55.153999999999996,3.7059699999999998,b'0',161.431,b'0',,b'0',,b'0',,b'0',0.134822,b'0',0.602002,b'0',2.85765,b'0',0.24000300000000002,b'0',0.68904,b'0',8.0057,b'0',0.00204913,b'1',2049.13,b'1',1780.2,b'1',361.3,b'1',8.01385,b'0',1775.84,b'1',353.108,b'1',36.922,b'0',36.9058,b'0',23.3439,b'0',25.2811,b'0',,b'0',,b'0',59.4673,b'0',2.0503299999999998,b'0',33.8378,b'0',58.0339,b'0',2.0009,b'0',,b'0',,b'0',149.928,b'1',,b'0',0.306041,b'0',1.00539,b'0',1.1172600000000001,b'0',,,,4.0,1998-06-09 12:40:00,1998-06-09 13:15:00,1998-06-09 05:34:00,1998-06-09 06:00:00,1998-06-09 16:40:00,1998-06-09 17:15:00,1998-06-09 09:34:00,1998-06-09 10:00:00
601,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,1.0,75.0,74.604,3.4988699999999997,b'0',152.384,b'0',,b'0',,b'0',,b'0',0.0,b'0',0.268285,b'0',4.44055,b'0',0.31959699999999996,b'0',1.09037,b'0',7.9844,b'0',0.00240671,b'0',2406.71,b'0',2119.0,b'0',443.5,b'0',7.9907,b'0',2115.28,b'0',435.684,b'0',36.927,b'0',36.917,b'0',22.7673,b'0',25.4574,b'0',,b'0',,b'0',26.3713,b'0',-1.49115,b'1',-20.6328,b'1',25.7356,b'0',-1.4552,b'1',,b'0',,b'0',246.295,b'1',,b'0',0.0,b'0',0.31,b'0',0.74,b'0',,,,4.0,1998-06-09 12:40:00,1998-06-09 13:15:00,1998-06-09 05:34:00,1998-06-09 06:00:00,1998-06-09 16:40:00,1998-06-09 17:15:00,1998-06-09 09:34:00,1998-06-09 10:00:00
602,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,1.0,100.0,101.344,3.26808,b'0',142.303,b'0',,b'0',,b'0',,b'0',0.0,b'0',0.0568817,b'0',5.90316,b'0',0.410887,b'0',1.88132,b'0',8.0569,b'1',0.00238733,b'0',2387.33,b'0',2057.4,b'1',344.9,b'1',8.063419999999999,b'0',2053.32,b'1',338.53,b'1',36.855,b'0',36.8489,b'0',21.8345,b'0',25.6715,b'0',,b'0',,b'0',68.961,b'0',7.45573,b'0',10.790999999999999,b'0',67.2987,b'0',7.27601,b'0',,b'0',,b'0',124.10700000000001,b'1',,b'0',0.0,b'0',0.0767697,b'0',0.04,b'0',,,,4.0,1998-06-09 12:40:00,1998-06-09 13:15:00,1998-06-09 05:34:00,1998-06-09 06:00:00,1998-06-09 16:40:00,1998-06-09 17:15:00,1998-06-09 09:34:00,1998-06-09 10:00:00
603,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,3.0,130.0,130.363,2.6314599999999997,b'0',114.52,b'0',,b'0',,b'0',,b'0',0.272543,b'0',0.027955200000000003,b'0',9.16698,b'0',0.663118,b'0',4.83294,b'0',7.8789,b'0',0.00238095,b'0',2380.95,b'0',2154.9,b'0',508.3,b'0',7.89455,b'0',2146.76,b'0',486.88800000000003,b'0',36.622,b'0',36.6288,b'0',19.1465,b'0',26.23,b'0',,b'0',,b'0',27.7888,b'0',1.02516,b'0',31.6245,b'0',27.1189,b'0',1.00045,b'0',,b'0',,b'0',75.2944,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1998-06-09 08:55:00,1998-06-09 09:45:00,,,1998-06-09 12:55:00,1998-06-09 13:45:00,,
604,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,3.0,160.0,160.332,1.66668,b'0',72.5256,b'0',,b'0',,b'0',,b'0',0.0,b'0',0.0176476,b'0',10.8164,b'0',1.14394,b'0',13.5193,b'0',7.7839,b'0',0.00234832,b'0',2348.32,b'0',2170.3,b'0',626.2,b'0',7.78866,b'0',2168.14,b'0',618.2919999999999,b'0',36.486999999999995,b'0',36.4842,b'0',18.2922,b'0',26.3373,b'0',,b'0',,b'0',37.8099,b'0',3.1686900000000002,b'0',13.9211,b'0',36.8985,b'0',3.09231,b'0',,b'0',,b'0',76.8122,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1998-06-09 08:55:00,1998-06-09 09:45:00,,,1998-06-09 12:55:00,1998-06-09 13:45:00,,
605,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,3.0,200.0,199.44799999999998,0.9442229999999999,b'0',41.0864,b'0',,b'0',,b'0',,b'0',0.0,b'0',0.00514716,b'0',8.09084,b'0',1.3816899999999999,b'0',20.195,b'0',7.7164,b'0',0.00239326,b'0',2393.26,b'0',2243.1,b'0',754.7,b'0',7.72122,b'0',2241.0,b'0',744.9730000000001,b'0',36.425,b'0',36.4247,b'0',17.9673,b'0',26.3733,b'0',,b'0',,b'0',46.3805,b'0',4.19385,b'0',12.9024,b'0',45.2626,b'0',4.09276,b'0',,b'0',,b'0',77.0557,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1998-06-09 08:55:00,1998-06-09 09:45:00,,,1998-06-09 12:55:00,1998-06-09 13:45:00,,
606,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,3.0,250.0,250.952,0.385153,b'0',16.759,b'0',,b'0',,b'0',,b'0',0.0178364,b'0',0.015576699999999999,b'0',5.13099,b'0',1.9316200000000001,b'0',31.4578,b'0',7.669,b'0',0.00240659,b'0',2406.59,b'0',2275.3,b'0',852.9,b'0',7.673769999999999,b'0',2273.32,b'0',842.133,b'0',36.385999999999996,b'0',36.3858,b'0',17.7576,b'0',26.395,b'0',,b'0',,b'0',52.8415,b'0',3.4482800000000005,b'0',17.878,b'0',51.5678,b'0',3.36516,b'0',,b'0',,b'0',140.556,b'1',,b'0',,b'0',,b'0',,b'0',,,,,1998-06-09 08:55:00,1998-06-09 09:45:00,,,1998-06-09 12:55:00,1998-06-09 13:45:00,,
607,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,3.0,280.0,280.131,0.275882,b'0',12.0042,b'0',,b'0',,b'0',,b'0',0.394602,b'0',0.0294735,b'0',3.35875,b'0',1.9108,b'0',32.2138,b'0',7.6579999999999995,b'0',0.0024096,b'0',2409.6,b'0',2282.8,b'0',876.7,b'0',7.662710000000001,b'0',2280.85,b'0',865.948,b'0',36.372,b'0',36.3738,b'0',17.6918,b'0',26.4022,b'0',,b'0',,b'0',38.2714,b'0',2.42311,b'0',18.4267,b'0',37.3488,b'0',2.3647,b'0',,b'0',,b'0',53.1995,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1998-06-09 08:55:00,1998-06-09 09:45:00,,,1998-06-09 12:55:00,1998-06-09 13:45:00,,
608,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,3.0,300.0,299.934,0.14160699999999998,b'0',6.161580000000001,b'0',,b'0',,b'0',,b'0',0.0796326,b'0',0.0147435,b'0',2.3724,b'0',2.0548900000000003,b'0',35.6886,b'0',7.6474,b'0',0.00242008,b'0',2420.08,b'0',2297.1,b'0',903.6,b'0',7.652189999999999,b'0',2295.1,b'0',892.155,b'0',36.368,b'0',36.3626,b'0',17.6367,b'0',26.4072,b'0',,b'0',,b'0',37.0187,b'0',5.21901,b'0',8.27523,b'0',36.1264,b'0',5.09321,b'0',,b'0',,b'0',74.0993,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1998-06-09 08:55:00,1998-06-09 09:45:00,,,1998-06-09 12:55:00,1998-06-09 13:45:00,,
609,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,2.0,350.0,350.61800000000005,0.0,b'0',0.0,b'0',,b'0',,b'0',,b'0',5.659009999999999,b'0',0.0623188,b'0',0.0,b'0',2.45791,b'0',43.1108,b'0',7.6372,b'0',0.00233749,b'1',2337.49,b'1',2220.6,b'1',890.8,b'1',7.6417399999999995,b'0',2218.82,b'1',880.202,b'1',36.336999999999996,b'0',36.3337,b'0',17.4984,b'0',26.4191,b'0',,b'0',,b'0',58.3465,b'0',7.45573,b'0',9.13001,b'0',56.9401,b'0',7.27601,b'0',,b'0',,b'0',106.87200000000001,b'1',,b'0',,b'0',,b'0',,b'0',,,,,1998-06-09 15:37:00,1998-06-09 16:50:00,,,1998-06-09 19:37:00,1998-06-09 20:50:00,,
610,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,2.0,400.0,400.837,0.0,b'0',0.0,b'0',,b'0',,b'0',,b'0',8.92351,b'0',0.0458983,b'0',0.0,b'0',2.64352,b'0',48.2694,b'0',7.6321,b'0',0.00243582,b'0',2435.82,b'0',2317.9,b'0',937.8,b'0',7.636660000000001,b'0',2316.08,b'0',926.753,b'0',36.312,b'0',36.315,b'0',17.4037,b'0',26.4275,b'0',,b'0',,b'0',61.9396,b'0',6.05778,b'0',11.9289,b'0',60.4466,b'0',5.91176,b'0',,b'0',,b'0',69.9761,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1998-06-09 15:37:00,1998-06-09 16:50:00,,,1998-06-09 19:37:00,1998-06-09 20:50:00,,
611,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,2.0,500.0,500.772,,b'0',,b'0',,b'0',,b'0',,b'0',14.7261,b'0',0.0167472,b'0',0.0,b'0',3.16228,b'0',65.939,b'0',7.6177,b'0',0.00245401,b'0',2454.01,b'0',2340.7,b'0',974.5,b'0',7.62246,b'0',2338.79,b'0',962.404,b'0',36.274,b'0',36.2769,b'0',17.2306,b'0',26.4402,b'0',,b'0',,b'0',53.7975,b'0',4.380240000000001,b'0',14.3288,b'0',52.5007,b'0',4.27466,b'0',,b'0',,b'0',310.11,b'1',,b'0',,b'0',,b'0',,b'0',,,,,1998-06-09 15:37:00,1998-06-09 16:50:00,,,1998-06-09 19:37:00,1998-06-09 20:50:00,,
612,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,2.0,750.0,749.842,,b'0',,b'0',,b'0',,b'0',,b'0',19.5766,b'0',0.00208616,b'0',-0.00208616,b'0',3.2300400000000002,b'0',70.64,b'0',7.6018,b'0',0.00245913,b'0',2459.13,b'0',2351.8,b'0',1013.6,b'0',7.6062,b'0',2350.21,b'0',1001.96,b'0',36.291,b'1',36.2424,b'0',17.1156,b'0',26.441,b'0',,b'0',,b'0',44.9301,b'0',2.51631,b'0',20.8315,b'0',43.8471,b'0',2.45565,b'0',,b'0',,b'0',127.37799999999999,b'1',,b'0',,b'0',,b'0',,b'0',,,,,1998-06-09 15:37:00,1998-06-09 16:50:00,,,1998-06-09 19:37:00,1998-06-09 20:50:00,,
613,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,2.0,1000.0,1000.08,,b'0',,b'0',,b'0',,b'0',,b'0',21.4222,b'0',0.00130997,b'0',-0.00130997,b'0',3.27526,b'0',74.215,b'0',7.5965,b'0',0.00244777,b'0',2447.77,b'0',2343.0,b'0',1023.1,b'0',7.60117,b'0',2341.1,b'0',1010.67,b'0',36.23,b'0',36.2324,b'0',17.1192,b'0',26.4327,b'0',,b'0',,b'0',49.4792,b'0',4.93942,b'0',11.6867,b'0',48.2865,b'0',4.82036,b'0',,b'0',,b'0',152.0,b'1',,b'0',,b'0',,b'0',,b'0',,,,,1998-06-09 15:37:00,1998-06-09 16:50:00,,,1998-06-09 19:37:00,1998-06-09 20:50:00,,
614,31,93HG_031,CAR-031,2,9,6,1998,10.5,-64.667,2.0,1310.0,1312.08,,b'0',,b'0',,b'0',,b'0',,b'0',24.2065,b'0',-0.00365866,b'0',0.00365866,b'0',3.68625,b'0',81.4546,b'0',7.5839,b'0',0.002339,b'1',2339.0,b'1',2241.0,b'1',1010.9,b'1',7.58858,b'0',2238.63,b'1',998.541,b'1',36.227,b'0',36.2254,b'0',17.1576,b'0',26.4178,b'0',,b'0',,b'0',62.1374,b'0',4.75303,b'0',15.2521,b'0',60.6396,b'0',4.63846,b'0',,b'0',,b'0',181.78900000000002,b'1',,b'0',,b'0',,b'0',,b'0',,,,,1998-06-09 15:37:00,1998-06-09 16:50:00,,,1998-06-09 19:37:00,1998-06-09 20:50:00,,
615,32,93HG_032,CAR-032,2,9,7,1998,10.5,-64.667,2.0,1.0,1.219,4.51626,b'0',196.81900000000002,b'0',,b'0',,b'0',,b'0',0.0,b'0',0.0,b'0',0.07180980000000001,b'0',0.017011000000000002,b'0',0.0,b'0',8.0599,b'0',0.002392,b'0',2392.0,b'0',2060.3,b'0',386.3,b'0',8.06665,b'0',2056.0,b'0',378.833,b'0',36.848,b'0',36.8491,b'0',24.7968,b'0',24.8033,b'0',,b'0',,b'0',138.328,b'0',15.4542,b'0',10.4426,b'0',134.994,b'0',15.0817,b'0',,b'0',,b'0',78.4423,b'0',,b'0',1.68172,b'0',0.241873,b'0',0.13813699999999998,b'0',,,,4.0,1998-07-09 14:42:00,1998-07-09 16:10:00,1998-07-09 05:15:00,1998-07-09 05:40:00,1998-07-09 18:42:00,1998-07-09 20:10:00,1998-07-09 09:15:00,1998-07-09 09:40:00
616,32,93HG_032,CAR-032,2,9,7,1998,10.5,-64.667,1.0,7.0,7.65,4.4193,b'0',192.59,b'0',,b'0',,b'0',,b'0',0.0,b'0',0.0,b'0',0.0653807,b'0',0.0135123,b'0',0.0,b'0',8.0544,b'0',0.00242113,b'0',2421.13,b'0',2089.8,b'0',397.3,b'0',8.06113,b'0',2085.53,b'0',389.66,b'0',36.883,b'0',36.8744,b'0',24.7956,b'0',24.8228,b'0',,b'0',,b'0',152.481,b'0',19.7889,b'0',8.98959,b'0',148.805,b'0',19.3119,b'0',,b'0',,b'0',124.919,b'1',,b'0',1.5326,b'0',0.287485,b'0',0.160365,b'0',,,,4.0,1998-07-09 12:13:00,1998-07-09 12:47:00,1998-07-09 05:15:00,1998-07-09 05:40:00,1998-07-09 16:13:00,1998-07-09 16:47:00,1998-07-09 09:15:00,1998-07-09 09:40:00
617,32,93HG_032,CAR-032,2,9,7,1998,10.5,-64.667,2.0,15.0,14.98,4.49324,b'0',195.739,b'0',,b'0',,b'0',,b'0',0.0,b'0',0.0,b'0',0.0801526,b'0',0.011809,b'0',0.0,b'0',8.0621,b'0',0.00241377,b'0',2413.77,b'0',2078.3,b'0',368.9,b'0',8.070269999999999,b'0',2072.98,b'0',360.273,b'0',36.885,b'0',36.8927,b'0',23.5751,b'0',25.2032,b'0',,b'0',,b'0',123.054,b'0',14.8888,b'0',9.64231,b'0',120.087,b'0',14.5299,b'0',,b'0',,b'0',,b'0',,b'0',0.8621040000000001,b'0',0.32,b'0',0.18383,b'0',,,,4.0,1998-07-09 14:42:00,1998-07-09 16:10:00,1998-07-09 05:15:00,1998-07-09 05:40:00,1998-07-09 18:42:00,1998-07-09 20:10:00,1998-07-09 09:15:00,1998-07-09 09:40:00
618,32,93HG_032,CAR-032,2,9,7,1998,10.5,-64.667,1.0,25.0,25.434,3.20086,b'0',139.385,b'0',,b'0',,b'0',,b'0',0.021243,b'0',0.45093900000000003,b'0',4.91255,b'0',0.292544,b'0',1.53342,b'0',7.9548,b'0',0.00240261,b'0',2402.61,b'0',2132.6,b'0',471.2,b'0',7.96088,b'0',2129.18,b'0',463.281,b'0',36.89,b'0',36.9188,b'0',22.2581,b'0',25.6051,b'0',,b'0',,b'0',143.145,b'0',23.5582,b'0',7.0889,b'0',139.694,b'0',22.9904,b'0',,b'0',,b'0',61.2966,b'0',,b'0',0.904832,b'0',0.742,b'0',0.83475,b'0',,,,4.0,1998-07-09 12:13:00,1998-07-09 12:47:00,1998-07-09 05:15:00,1998-07-09 05:40:00,1998-07-09 16:13:00,1998-07-09 16:47:00,1998-07-09 09:15:00,1998-07-09 09:40:00
619,32,93HG_032,CAR-032,2,9,7,1998,10.5,-64.667,1.0,35.0,34.899,3.05639,b'0',133.085,b'0',,b'0',,b'0',,b'0',0.0,b'0',0.184184,b'0',6.67928,b'0',0.403366,b'0',2.0002400000000002,b'0',7.9416,b'0',0.00241803,b'0',2418.03,b'0',2154.2,b'0',484.5,b'0',7.9478800000000005,b'0',2150.69,b'0',476.11699999999996,b'0',36.89,b'0',36.8592,b'0',21.8758,b'0',25.6676,b'0',,b'0',,b'0',71.4239,b'0',11.9676,b'0',6.9628,b'0',69.7022,b'0',11.6791,b'0',,b'0',,b'0',58.3511,b'0',,b'0',0.13347799999999999,b'0',0.334061,b'0',0.466239,b'0',,,,4.0,1998-07-09 12:13:00,1998-07-09 12:47:00,1998-07-09 05:15:00,1998-07-09 05:40:00,1998-07-09 16:13:00,1998-07-09 16:47:00,1998-07-09 09:15:00,1998-07-09 09:40:00
620,32,93HG_032,CAR-032,2,9,7,1998,10.5,-64.667,1.0,55.0,54.953,2.9434099999999996,b'0',128.15200000000002,b'0',,b'0',,b'0',,b'0',0.0,b'0',0.104243,b'0',7.316110000000001,b'0',0.47563199999999994,b'0',2.81303,b'0',7.931,b'0',0.00243055,b'0',2430.55,b'0',2171.7,b'0',493.6,b'0',7.93697,b'0',2168.38,b'0',485.63,b'0',36.879,b'0',36.8604,b'0',21.4834,b'0',25.7783,b'0',,b'0',,b'0',81.5519,b'0',10.8368,b'0',8.779710000000001,b'0',79.5861,b'0',10.5756,b'0',,b'0',,b'0',61.5878,b'0',,b'0',0.0,b'0',0.168958,b'0',0.38701199999999997,b'0',,,,4.0,1998-07-09 12:13:00,1998-07-09 12:47:00,1998-07-09 05:15:00,1998-07-09 05:40:00,1998-07-09 16:13:00,1998-07-09 16:47:00,1998-07-09 09:15:00,1998-07-09 09:40:00
621,32,93HG_032,CAR-032,2,9,7,1998,10.5,-64.667,1.0,75.0,75.902,2.7939999999999996,b'0',121.62899999999999,b'0',,b'0',,b'0',,b'0',0.0,b'0',0.023825299999999997,b'0',8.46785,b'0',0.5804779999999999,b'0',3.50275,b'0',7.9021,b'0',0.00241694,b'0',2416.94,b'0',2175.4,b'0',515.9,b'0',7.907839999999999,b'0',2172.34,b'0',507.905,b'0',36.78,b'0',36.7827,b'0',20.7323,b'0',25.9265,b'0',,b'0',,b'0',46.7142,b'0',4.90011,b'0',11.1222,b'0',45.5881,b'0',4.782,b'0',,b'0',,b'0',60.3975,b'0',,b'0',0.08689989999999999,b'0',0.018790900000000003,b'0',0.05,b'0',,,,4.0,1998-07-09 12:13:00,1998-07-09 12:47:00,1998-07-09 05:15:00,1998-07-09 05:40:00,1998-07-09 16:13:00,1998-07-09 16:47:00,1998-07-09 09:15:00,1998-07-09 09:40:00
622,32,93HG_032,CAR-032,2,9,7,1998,10.5,-64.667,1.0,100.0,100.585,2.6376,b'0',114.79899999999999,b'0',,b'0',,b'0',,b'0',0.00543466,b'0',0.00920081,b'0',9.296710000000001,b'0',0.668667,b'0',4.48703,b'0',7.8855,b'0',0.002404,b'0',2404.0,b'0',2172.6,b'0',516.8,b'0',7.89111,b'0',2169.63,b'0',508.911,b'0',36.695,b'0',36.695,b'0',19.7704,b'0',26.1174,b'0',,b'0',,b'0',54.4999,b'0',4.33472,b'0',14.6684,b'0',53.1862,b'0',4.230230000000001,b'0',,b'0',,b'0',54.3515,b'0',,b'0',0.0,b'0',0.0159,b'0',0.06,b'0',,,,4.0,1998-07-09 12:13:00,1998-07-09 12:47:00,1998-07-09 05:15:00,1998-07-09 05:40:00,1998-07-09 16:13:00,1998-07-09 16:47:00,1998-07-09 09:15:00,1998-07-09 09:40:00
623,32,93HG_032,CAR-032,2,9,7,1998,10.5,-64.667,3.0,130.0,130.525,2.61857,b'0',113.95700000000001,b'0',,b'0',,b'0',,b'0',0.0,b'0',0.0105074,b'0',10.0203,b'0',0.7517,b'0',5.779,b'0',7.857,b'0',0.00239308,b'0',2393.08,b'0',2178.0,b'0',538.3,b'0',7.86216,b'0',2174.96,b'0',530.8,b'0',36.58,b'0',36.5873,b'0',18.9585,b'0',26.2467,b'0',,b'0',,b'0',127.969,b'1',11.6849,b'0',12.777000000000001,b'0',124.884,b'1',11.4032,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,b'0',,,,,1998-07-09 08:32:00,1998-07-09 09:11:00,,,1998-07-09 12:32:00,1998-07-09 13:11:00,,
