"","Date","val","spec"
"225",2007-03-06,2.64,"Prasino3"
"226",2007-04-10,3.76,"Prasino3"
"227",2007-05-08,3.62,"Prasino3"
"228",2007-06-05,1.9,"Prasino3"
"229",2007-07-03,2.21,"Prasino3"
"230",2007-08-07,1.43,"Prasino3"
"231",2007-09-04,3.19,"Prasino3"
"232",2007-10-19,1.67,"Prasino3"
"233",2007-12-11,2.04,"Prasino3"
"234",2008-01-10,0.91,"Prasino3"
"235",2008-02-12,1.75,"Prasino3"
"236",2008-03-11,1.85,"Prasino3"
"237",2008-04-08,1.96,"Prasino3"
"238",2008-05-04,3.64,"Prasino3"
"239",2008-06-03,1.92,"Prasino3"
"240",2008-07-08,3.11,"Prasino3"
"241",2008-08-05,2.04,"Prasino3"
"242",2008-09-10,3.07,"Prasino3"
"243",2008-10-10,3.09,"Prasino3"
"244",2008-11-18,5.67,"Prasino3"
"245",2008-12-10,3.85,"Prasino3"
"246",2009-01-13,2.82,"Prasino3"
"247",2009-02-10,4.22,"Prasino3"
"248",2009-03-03,2.5,"Prasino3"
"249",2009-04-07,3.79,"Prasino3"
"250",2009-05-08,3.22,"Prasino3"
"251",2009-06-02,2.57,"Prasino3"
"252",2009-07-14,2.03,"Prasino3"
"253",2009-08-11,3.39,"Prasino3"
"254",2009-09-15,1.8,"Prasino3"
"255",2009-10-07,1.51,"Prasino3"
"256",2009-11-10,1.96,"Prasino3"
"257",2009-12-08,2.04,"Prasino3"
"258",2010-01-07,2.52,"Prasino3"
"259",2010-02-11,0.32,"Prasino3"
"260",2010-03-09,1.62,"Prasino3"
"261",2010-04-07,2.12,"Prasino3"
"262",2010-05-11,3.13,"Prasino3"
"263",2010-06-08,2.24,"Prasino3"
"264",2010-08-04,2.86,"Prasino3"
"265",2010-09-15,4.545,"Prasino3"
"266",2010-10-05,1.44,"Prasino3"
"267",2010-11-09,1.84,"Prasino3"
"268",2010-12-08,1.71,"Prasino3"
"269",2011-01-11,1.58,"Prasino3"
"270",2011-02-08,0.38,"Prasino3"
"271",2011-03-15,2.22,"Prasino3"
"272",2011-04-12,0.84,"Prasino3"
"273",2011-05-10,5.78,"Prasino3"
"274",2011-06-09,3.45,"Prasino3"
"275",2011-07-07,3.01,"Prasino3"
"276",2011-08-09,4.41,"Prasino3"
"277",2011-09-06,3.04,"Prasino3"
"278",2011-10-04,3.87,"Prasino3"
"279",2011-11-18,3.43,"Prasino3"
"280",2012-01-10,0.75,"Prasino3"
"281",2012-02-07,0.32,"Prasino3"
"282",2012-03-16,0.74,"Prasino3"
"283",2012-04-10,4.9,"Prasino3"
"284",2012-05-15,2.6,"Prasino3"
"285",2012-07-26,1.28,"Prasino3"
"286",2012-08-14,2.58,"Prasino3"
"287",2012-09-11,4.15,"Prasino3"
"288",2012-10-10,2.86,"Prasino3"
"289",2012-11-08,2.65,"Prasino3"
"290",2012-12-04,4.29,"Prasino3"
"291",2013-03-05,3.38,"Prasino3"
"292",2013-04-09,3.95,"Prasino3"
"293",2013-05-09,4.77,"Prasino3"
"294",2013-06-11,4.45,"Prasino3"
"295",2013-07-11,3.5,"Prasino3"
"296",2013-08-13,2.94,"Prasino3"
"297",2013-09-11,1.38,"Prasino3"
"298",2013-10-08,3.92,"Prasino3"
"299",2013-11-13,2.32,"Prasino3"
"300",2013-12-04,2.18,"Prasino3"
"301",2014-01-14,0.51,"Prasino3"
"302",2014-02-04,0.77,"Prasino3"
"303",2014-03-10,0.59,"Prasino3"
"304",2014-04-01,1.89,"Prasino3"
"305",2014-05-06,0.26,"Prasino3"
"306",2014-06-13,2.55,"Prasino3"
"307",2014-09-03,4.36,"Prasino3"
"308",2014-10-07,3.86,"Prasino3"
"309",2014-11-12,4.77,"Prasino3"
"310",2014-12-09,4.26,"Prasino3"
"311",2015-02-15,2.73,"Prasino3"
"312",2015-04-14,2.48,"Prasino3"
"313",2015-07-29,1.54,"Prasino3"
"314",2015-08-17,2.75,"Prasino3"
"315",2015-09-10,2.09,"Prasino3"
"316",2015-11-16,2.83,"Prasino3"
"317",2015-12-09,2.23,"Prasino3"
"318",2016-01-12,3.74,"Prasino3"
"319",2016-02-04,1.72,"Prasino3"
"320",2016-05-10,5.19,"Prasino3"
"321",2016-06-07,4.42,"Prasino3"
"322",2016-09-20,2.23,"Prasino3"
"323",2016-12-21,1.08,"Prasino3"
"324",2017-01-12,0.56,"Prasino3"
"325",1995-12-14,0.66,"Crypto1"
"326",1996-01-13,1.08,"Crypto1"
"327",1996-02-14,1.93,"Crypto1"
"328",1996-03-13,0.92,"Crypto1"
"329",1996-04-17,2.76,"Crypto1"
"330",1996-05-10,0.22,"Crypto1"
"331",1996-06-13,3.81,"Crypto1"
"332",1996-07-11,0.19,"Crypto1"
"333",1996-08-07,0.14,"Crypto1"
"334",1996-09-11,0.64,"Crypto1"
"335",1996-10-09,0.64,"Crypto1"
"336",1996-11-11,1.39,"Crypto1"
"337",1996-12-10,1.17,"Crypto1"
"338",1997-01-08,1.26,"Crypto1"
"339",1997-02-14,0.27,"Crypto1"
"340",1997-02-23,0.03,"Crypto1"
"341",1997-03-13,0,"Crypto1"
"342",1997-04-16,0.02,"Crypto1"
"343",1997-05-10,0.29,"Crypto1"
"344",1997-06-17,0.06,"Crypto1"
"345",1997-07-08,0.02,"Crypto1"
"346",1997-07-16,0.52,"Crypto1"
"347",1997-08-17,0.1,"Crypto1"
"348",1997-09-17,0.98,"Crypto1"
"349",1997-10-14,1,"Crypto1"
"350",1997-11-13,0.49,"Crypto1"
"351",1997-12-17,1.01,"Crypto1"
"352",1998-01-14,1.61,"Crypto1"
"353",1998-02-11,0.5,"Crypto1"
"354",1998-03-12,0.29,"Crypto1"
"355",1998-04-21,1.11,"Crypto1"
"356",1998-06-09,4.38,"Crypto1"
"357",1998-07-09,0.21,"Crypto1"
"358",1998-08-05,0.6,"Crypto1"
"359",1998-09-01,1.42,"Crypto1"
"360",1998-12-16,1.19,"Crypto1"
"361",1999-01-12,5.37,"Crypto1"
"362",1999-03-04,0.11,"Crypto1"
"363",1999-04-07,0.06,"Crypto1"
"364",1999-07-15,0.94,"Crypto1"
"365",1999-08-11,0.01,"Crypto1"
"366",1999-09-14,0.35,"Crypto1"
"367",1999-10-05,0.91,"Crypto1"
"368",1999-11-04,0.01,"Crypto1"
"369",1999-12-07,0.07,"Crypto1"
"370",2000-01-11,2.13,"Crypto1"
"371",2000-02-08,1.67,"Crypto1"
"372",2000-03-09,0.24,"Crypto1"
"373",2000-04-11,0.92,"Crypto1"
"374",2000-05-11,1.73,"Crypto1"
"375",2000-06-06,0.2,"Crypto1"
"376",2000-07-07,0.02,"Crypto1"
"377",2000-08-09,0.59,"Crypto1"
"378",2000-09-12,0.21,"Crypto1"
"379",2000-10-10,0.49,"Crypto1"
"380",2006-07-04,0.27,"Crypto1"
"381",2006-08-03,1.99,"Crypto1"
"382",2006-09-12,1.77,"Crypto1"
"383",2006-10-10,1.8,"Crypto1"
"384",2006-11-02,1.47,"Crypto1"
"385",2006-12-05,1.74,"Crypto1"
"386",2007-02-06,6.35,"Crypto1"
"387",2007-03-06,4.23,"Crypto1"
"388",2007-04-10,4.84,"Crypto1"
"389",2007-05-08,4.07,"Crypto1"
"390",2007-06-05,1.98,"Crypto1"
"391",2007-07-03,0.84,"Crypto1"
"392",2007-08-07,3.24,"Crypto1"
"393",2007-09-04,0.98,"Crypto1"
"394",2007-10-19,4.13,"Crypto1"
"395",2007-12-11,2.79,"Crypto1"
"396",2008-01-10,1.94,"Crypto1"
"397",2008-02-12,7.65,"Crypto1"
"398",2008-03-11,4.25,"Crypto1"
"399",2008-04-08,3.86,"Crypto1"
"400",2008-05-04,2.65,"Crypto1"
"401",2008-06-03,4.26,"Crypto1"
"402",2008-07-08,2.52,"Crypto1"
"403",2008-08-05,4.75,"Crypto1"
"404",2008-09-10,1.3,"Crypto1"
"405",2008-10-10,1.99,"Crypto1"
"406",2008-11-18,1.75,"Crypto1"
"407",2008-12-10,1.08,"Crypto1"
"408",2009-01-13,3.05,"Crypto1"
"409",2009-02-10,1.89,"Crypto1"
"410",2009-03-03,1.97,"Crypto1"
"411",2009-04-07,3.53,"Crypto1"
"412",2009-05-08,4.49,"Crypto1"
"413",2009-06-02,3.91,"Crypto1"
"414",2009-07-14,1.01,"Crypto1"
"415",2009-08-11,4.37,"Crypto1"
"416",2009-09-15,2.55,"Crypto1"
"417",2009-10-07,2.28,"Crypto1"
"418",2009-11-10,0.73,"Crypto1"
"419",2009-12-08,0.66,"Crypto1"
"420",2010-01-07,2.88,"Crypto1"
"421",2010-02-11,4.76,"Crypto1"
"422",2010-03-09,1.62,"Crypto1"
"423",2010-04-07,0.86,"Crypto1"
"424",2010-05-11,2.66,"Crypto1"
"425",2010-06-08,1.68,"Crypto1"
"426",2010-08-04,1.07,"Crypto1"
"427",2010-09-15,2.905,"Crypto1"
"428",2010-10-05,0.96,"Crypto1"
"429",2010-11-09,0.69,"Crypto1"
"430",2010-12-08,2.48,"Crypto1"
"431",2011-01-11,1.95,"Crypto1"
"432",2011-02-08,1.24,"Crypto1"
"433",2011-03-15,2.14,"Crypto1"
"434",2011-04-12,0.44,"Crypto1"
"435",2011-05-10,2.76,"Crypto1"
"436",2011-06-09,1.09,"Crypto1"
"437",2011-07-07,1.02,"Crypto1"
"438",2011-08-09,1.82,"Crypto1"
"439",2011-09-06,0.97,"Crypto1"
"440",2011-10-04,0.14,"Crypto1"
"441",2011-11-18,0.8,"Crypto1"
"442",2012-01-10,4.67,"Crypto1"
"443",2012-02-07,1.25,"Crypto1"
"444",2012-03-16,5.55,"Crypto1"
"445",2012-04-10,2.33,"Crypto1"
"446",2012-05-15,1.52,"Crypto1"
"447",2012-07-26,1.34,"Crypto1"
"448",2012-08-14,2.42,"Crypto1"
"449",2012-09-11,1.33,"Crypto1"
"450",2012-10-10,1.95,"Crypto1"
"451",2012-11-08,0.56,"Crypto1"
"452",2012-12-04,0.67,"Crypto1"
"453",2013-03-05,2.67,"Crypto1"
"454",2013-04-09,1.5,"Crypto1"
"455",2013-05-09,2.33,"Crypto1"
"456",2013-06-11,1.29,"Crypto1"
"457",2013-07-11,1.49,"Crypto1"
"458",2013-08-13,1.11,"Crypto1"
"459",2013-09-11,0.28,"Crypto1"
"460",2013-10-08,0,"Crypto1"
"461",2013-11-13,0.54,"Crypto1"
"462",2013-12-04,0.45,"Crypto1"
"463",2014-01-14,0.94,"Crypto1"
"464",2014-02-04,2.29,"Crypto1"
"465",2014-03-10,2.06,"Crypto1"
"466",2014-04-01,4.03,"Crypto1"
"467",2014-05-06,4.12,"Crypto1"
"468",2014-06-13,1.91,"Crypto1"
"469",2014-09-03,0.31,"Crypto1"
"470",2014-10-07,0.21,"Crypto1"
"471",2014-11-12,1.55,"Crypto1"
"472",2014-12-09,2.4,"Crypto1"
"473",2015-02-15,3.77,"Crypto1"
"474",2015-04-14,1.04,"Crypto1"
"475",2015-07-29,0.53,"Crypto1"
"476",2015-08-17,2.34,"Crypto1"
"477",2015-09-10,0.95,"Crypto1"
"478",2015-11-16,1.28,"Crypto1"
"479",2015-12-09,1.88,"Crypto1"
"480",2016-01-12,3.22,"Crypto1"
"481",2016-02-04,1.97,"Crypto1"
"482",2016-05-10,2.63,"Crypto1"
"483",2016-06-07,3.66,"Crypto1"
"484",2016-09-20,1,"Crypto1"
"485",2016-12-21,1.6,"Crypto1"
"486",2017-01-12,1.59,"Crypto1"
"487",1995-12-14,2.67,"Hapto6"
"488",1996-01-13,3.03,"Hapto6"
"489",1996-02-14,2.18,"Hapto6"
"490",1996-03-13,2.05,"Hapto6"
"491",1996-04-17,50.81,"Hapto6"
"492",1996-05-10,9.76,"Hapto6"
"493",1996-06-13,3.76,"Hapto6"
"494",1996-07-11,7.14,"Hapto6"
"495",1996-08-07,7.13,"Hapto6"
"496",1996-09-11,12.59,"Hapto6"
"497",1996-10-09,8.69,"Hapto6"
"498",1996-11-11,8.71,"Hapto6"
"499",1996-12-10,4.01,"Hapto6"
"500",1997-01-08,5.52,"Hapto6"
"501",1997-02-14,1.15,"Hapto6"
"502",1997-02-23,1.02,"Hapto6"
"503",1997-03-13,0,"Hapto6"
"504",1997-04-16,6.31,"Hapto6"
"505",1997-05-10,1.22,"Hapto6"
"506",1997-06-17,4.2,"Hapto6"
"507",1997-07-08,1.38,"Hapto6"
"508",1997-07-16,2.42,"Hapto6"
"509",1997-08-17,7.85,"Hapto6"
"510",1997-09-17,3.17,"Hapto6"
"511",1997-10-14,3.74,"Hapto6"
"512",1997-11-13,6.71,"Hapto6"
"513",1997-12-17,7.07,"Hapto6"
"514",1998-01-14,5.66,"Hapto6"
"515",1998-02-11,2.71,"Hapto6"
"516",1998-03-12,2.16,"Hapto6"
"517",1998-04-21,6.17,"Hapto6"
"518",1998-06-09,21.14,"Hapto6"
"519",1998-07-09,15.59,"Hapto6"
"520",1998-08-05,14.78,"Hapto6"
"521",1998-09-01,4.24,"Hapto6"
"522",1998-12-16,11.18,"Hapto6"
"523",1999-01-12,28.38,"Hapto6"
"524",1999-03-04,1.06,"Hapto6"
"525",1999-04-07,6.94,"Hapto6"
"526",1999-07-15,10.56,"Hapto6"
"527",1999-08-11,4.98,"Hapto6"
"528",1999-09-14,6.37,"Hapto6"
"529",1999-10-05,3.59,"Hapto6"
"530",1999-11-04,1.6,"Hapto6"
"531",1999-12-07,1.78,"Hapto6"
"532",2000-01-11,4.02,"Hapto6"
