date,year,month,day,lon,lat,value
2002-06-30,2002.0,6.0,15.0,-64.68349838256837,10.6875,0.41630889289081113
2002-07-31,2002.0,7.0,16.0,-64.68349838256837,10.6875,2.618980585038662
2002-08-31,2002.0,8.0,16.0,-64.68349838256837,10.6875,0.44114510416984576
2002-09-30,2002.0,9.0,15.0,-64.68349838256837,10.6875,0.21381101496517663
2002-10-31,2002.0,10.0,16.0,-64.68349838256837,10.6875,0.3262694776058197
2002-11-30,2002.0,11.0,15.0,-64.68349838256837,10.6875,0.6126267887651922
2002-12-31,2002.0,12.0,16.0,-64.68349838256837,10.6875,1.3823128208518027
2003-01-31,2003.0,1.0,16.0,-64.68349838256837,10.6875,1.4639013692736624
2003-02-28,2003.0,2.0,14.0,-64.68349838256837,10.6875,1.3295527681708332
2003-03-31,2003.0,3.0,16.0,-64.68349838256837,10.6875,1.6360425606369968
2003-04-30,2003.0,4.0,15.0,-64.68349838256837,10.6875,0.517272338271141
2003-05-31,2003.0,5.0,16.0,-64.68349838256837,10.6875,3.7215676322961473
2003-06-30,2003.0,6.0,15.0,-64.68349838256837,10.6875,0.65689959526062
2003-07-31,2003.0,7.0,16.0,-64.68349838256837,10.6875,0.965137244015932
2003-08-31,2003.0,8.0,16.0,-64.68349838256837,10.6875,0.3500313427299261
2003-09-30,2003.0,9.0,15.0,-64.68349838256837,10.6875,0.18703358061611647
2003-10-31,2003.0,10.0,16.0,-64.68349838256837,10.6875,0.1721811681985856
2003-11-30,2003.0,11.0,15.0,-64.68349838256837,10.6875,0.15220028255134818
2003-12-31,2003.0,12.0,16.0,-64.68349838256837,10.6875,0.42782168500125406
2004-01-31,2004.0,1.0,16.0,-64.68349838256837,10.6875,0.7317728087306022
2004-02-29,2004.0,2.0,15.0,-64.68349838256837,10.6875,1.18145112618804
2004-03-31,2004.0,3.0,16.0,-64.68349838256837,10.6875,1.9209841310977935
2004-04-30,2004.0,4.0,15.0,-64.68349838256837,10.6875,0.49746252484619635
2004-05-31,2004.0,5.0,16.0,-64.68349838256837,10.6875,0.5466323111206292
2004-06-30,2004.0,6.0,15.0,-64.68349838256837,10.6875,1.0368560269474985
2004-07-31,2004.0,7.0,16.0,-64.68349838256837,10.6875,0.6351740539073942
2004-08-31,2004.0,8.0,16.0,-64.68349838256837,10.6875,0.38786747828125984
2004-09-30,2004.0,9.0,15.0,-64.68349838256837,10.6875,0.18132449574768544
2004-10-31,2004.0,10.0,16.0,-64.68349838256837,10.6875,0.2023518156260252
2004-11-30,2004.0,11.0,15.0,-64.68349838256837,10.6875,0.29558470509946344
2004-12-31,2004.0,12.0,16.0,-64.68349838256837,10.6875,0.5769431427121159
2005-01-31,2005.0,1.0,16.0,-64.68349838256837,10.6875,0.5783251177519558
2005-02-28,2005.0,2.0,14.0,-64.68349838256837,10.6875,0.34723899960517884
2005-03-31,2005.0,3.0,16.0,-64.68349838256837,10.6875,1.1304119959473617
2005-04-30,2005.0,4.0,15.0,-64.68349838256837,10.6875,1.979826773703098
2005-05-31,2005.0,5.0,16.0,-64.68349838256837,10.6875,0.17950144074857233
2005-06-30,2005.0,6.0,15.0,-64.68349838256837,10.6875,0.27222104743123055
2005-07-31,2005.0,7.0,16.0,-64.68349838256837,10.6875,0.3280899155884981
2005-08-31,2005.0,8.0,16.0,-64.68349838256837,10.6875,0.47101707682013505
2005-09-30,2005.0,9.0,15.0,-64.68349838256837,10.6875,0.2859466142952442
2005-10-31,2005.0,10.0,16.0,-64.68349838256837,10.6875,0.17374218441545958
2005-11-30,2005.0,11.0,15.0,-64.68349838256837,10.6875,0.2631530527025462
2005-12-31,2005.0,12.0,16.0,-64.68349838256837,10.6875,0.6230958111584186
2006-01-31,2006.0,1.0,16.0,-64.68349838256837,10.6875,0.9225228242576119
2006-02-28,2006.0,2.0,14.0,-64.68349838256837,10.6875,0.8672365762293337
2006-03-31,2006.0,3.0,16.0,-64.68349838256837,10.6875,1.164955992251635
2006-04-30,2006.0,4.0,15.0,-64.68349838256837,10.6875,1.1171312764286996
2006-05-31,2006.0,5.0,16.0,-64.68349838256837,10.6875,0.3550082325935365
2006-06-30,2006.0,6.0,15.0,-64.68349838256837,10.6875,0.355411671102047
2006-07-31,2006.0,7.0,16.0,-64.68349838256837,10.6875,1.590768639743328
2006-08-31,2006.0,8.0,16.0,-64.68349838256837,10.6875,0.5146870255470275
2006-09-30,2006.0,9.0,15.0,-64.68349838256837,10.6875,0.24357896707952023
2006-10-31,2006.0,10.0,16.0,-64.68349838256837,10.6875,0.2666569478809834
2006-11-30,2006.0,11.0,15.0,-64.68349838256837,10.6875,0.2505862683057785
2006-12-31,2006.0,12.0,16.0,-64.68349838256837,10.6875,0.632692330703139
2007-01-31,2007.0,1.0,16.0,-64.68349838256837,10.6875,1.7395834878087046
2007-02-28,2007.0,2.0,14.0,-64.68349838256837,10.6875,1.7932071089744563
2007-03-31,2007.0,3.0,16.0,-64.68349838256837,10.6875,2.588572296500206
2007-04-30,2007.0,4.0,15.0,-64.68349838256837,10.6875,0.7537062726914885
2007-05-31,2007.0,5.0,16.0,-64.68349838256837,10.6875,0.44157920368015746
2007-06-30,2007.0,6.0,15.0,-64.68349838256837,10.6875,0.46213269010186186
2007-07-31,2007.0,7.0,16.0,-64.68349838256837,10.6875,0.9581873789429662
2007-08-31,2007.0,8.0,16.0,-64.68349838256837,10.6875,0.1940418731421232
2007-09-30,2007.0,9.0,15.0,-64.68349838256837,10.6875,0.2602346263825893
2007-10-31,2007.0,10.0,16.0,-64.68349838256837,10.6875,0.16993344910442837
2007-11-30,2007.0,11.0,15.0,-64.68349838256837,10.6875,0.33286640197038647
2007-12-31,2007.0,12.0,16.0,-64.68349838256837,10.6875,0.7453644998371599
2008-01-31,,,,,,
2008-02-29,,,,,,
2008-03-31,,,,,,
2008-04-30,2008.0,4.0,17.0,-64.68349838256837,10.6875,1.2203575134277342
2008-05-31,2008.0,5.0,16.0,-64.68349838256837,10.6875,1.237697563320398
2008-06-30,2008.0,6.0,15.0,-64.68349838256837,10.6875,0.43304514065384847
2008-07-31,,,,,,
2008-08-31,2008.0,8.0,25.0,-64.68349838256837,10.6875,0.15623910576105113
2008-09-30,2008.0,9.0,15.0,-64.68349838256837,10.6875,0.1605953104794025
2008-10-31,2008.0,10.0,17.0,-64.68349838256837,10.6875,0.20699141211807737
2008-11-30,2008.0,11.0,15.0,-64.68349838256837,10.6875,0.24599835909903045
2008-12-31,2008.0,12.0,16.0,-64.68349838256837,10.6875,0.35728492923080923
2009-01-31,2009.0,1.0,16.0,-64.68349838256837,10.6875,0.9474525228142738
2009-02-28,2009.0,2.0,14.0,-64.68349838256837,10.6875,0.9358171470463278
2009-03-31,2009.0,3.0,16.0,-64.68349838256837,10.6875,0.9394744046032428
