date,year,month,day,lon,lat,value
2007-11-30,2007.0,11.0,16.0,-64.68349863688152,10.6875,0.2736737605598238
2007-12-31,2007.0,12.0,16.0,-64.68349863688152,10.6875,0.678865223460727
2008-01-31,2008.0,1.0,16.0,-64.68349863688152,10.6875,0.9893472726698272
2008-02-29,2008.0,2.0,15.0,-64.68349863688152,10.6875,0.8735790151136893
2008-03-31,2008.0,3.0,16.0,-64.68349863688152,10.6875,1.26853608334506
2008-04-30,2008.0,4.0,16.0,-64.68349863688152,10.6875,1.3897134500521198
2008-05-31,2008.0,5.0,16.0,-64.68349863688152,10.6875,1.0898971271735651
2008-06-30,2008.0,6.0,16.0,-64.68349863688152,10.6875,0.5510424342420365
2008-07-31,2008.0,7.0,16.0,-64.68349863688152,10.6875,0.41339898297080285
2008-08-31,2008.0,8.0,16.0,-64.68349863688152,10.6875,0.1713957556971797
2008-09-30,2008.0,9.0,16.0,-64.68349863688152,10.6875,0.13758182326952614
