"","date","val","X0.55m","X55.100m","spec","yday","month"
"116",2011-10-04,22.39,14.15,8.24,"Tchla",277,10
"117",2011-11-18,23.84,11.46,12.38,"Tchla",322,11
"118",2012-01-10,87.08,83.96,3.12,"Tchla",10,1
"119",2012-02-07,30.18,24.87,5.31,"Tchla",38,2
"120",2012-03-16,243.2,239.53,3.67,"Tchla",76,3
"121",2012-04-10,34.84,25.13,9.71,"Tchla",101,4
"122",2012-05-15,25.59,15.75,9.84,"Tchla",136,5
"123",2012-07-26,17.72,15.45,2.27,"Tchla",208,7
"124",2012-08-14,27.41,20.79,6.62,"Tchla",227,8
"125",2012-09-11,31.58,19.92,11.66,"Tchla",255,9
"126",2012-10-10,30.89,22.13,8.76,"Tchla",284,10
"127",2012-11-08,20.16,9.16,11,"Tchla",313,11
"128",2012-12-04,23.78,16.67,7.11,"Tchla",339,12
"129",2013-03-05,33.34,28.32,5.02,"Tchla",64,3
"130",2013-04-09,41.34,32.18,9.16,"Tchla",99,4
"131",2013-05-09,37.04,25,12.04,"Tchla",129,5
"132",2013-06-11,39.75,26.55,13.2,"Tchla",162,6
"133",2013-07-11,31.42,21.44,9.98,"Tchla",192,7
"134",2013-08-13,30.37,15.08,15.29,"Tchla",225,8
"135",2013-09-11,27.93,14.26,13.67,"Tchla",254,9
"136",2013-10-08,38.78,24.76,14.02,"Tchla",281,10
"137",2013-11-13,27.28,20.38,6.9,"Tchla",317,11
"138",2013-12-04,20.37,14.13,6.24,"Tchla",338,12
"139",2014-01-14,37.04,35.3,1.74,"Tchla",14,1
"140",2014-02-04,137.65,134.99,2.66,"Tchla",35,2
"141",2014-03-10,46.78,33.3,13.48,"Tchla",69,3
"142",2014-04-01,81.62,70.62,11,"Tchla",91,4
"143",2014-05-06,296.77,286.36,10.41,"Tchla",126,5
"144",2014-06-13,53.57,45.65,7.92,"Tchla",164,6
"145",2014-09-03,28.71,15.56,13.15,"Tchla",246,9
"146",2014-10-07,24.01,13.85,10.16,"Tchla",280,10
"147",2014-11-12,28.56,19.31,9.25,"Tchla",316,11
"148",2014-12-09,70.19,64.34,5.85,"Tchla",343,12
"149",2015-02-15,37.69,28.56,9.13,"Tchla",46,2
"150",2015-04-14,66.98,60.33,6.65,"Tchla",104,4
"151",2015-07-29,21.82,19.26,2.56,"Tchla",210,7
"152",2015-08-17,30.27,25.46,4.81,"Tchla",229,8
"153",2015-09-10,31.5,28,3.5,"Tchla",253,9
"154",2015-11-16,31.99,25.73,6.26,"Tchla",320,11
"155",2015-12-09,22.82,19.27,3.55,"Tchla",343,12
"156",2016-01-12,66.31,63.86,2.45,"Tchla",12,1
"157",2016-02-04,44.41,37.37,7.04,"Tchla",35,2
"158",2016-05-10,43.14,31.56,11.58,"Tchla",131,5
"159",2016-06-07,37.26,15.16,22.1,"Tchla",159,6
"160",2016-09-20,31.38,17.76,13.62,"Tchla",264,9
"161",2016-12-21,32.23,27.62,4.61,"Tchla",356,12
"162",2017-01-12,51.42,47.61,3.81,"Tchla",12,1
"163",1995-12-14,2.54,1.93,0.61,"Prasino3",348,12
"164",1996-01-13,1.43,0.96,0.47,"Prasino3",13,1
"165",1996-02-14,1.64,1.08,0.56,"Prasino3",45,2
"166",1996-03-13,0.49,0.37,0.12,"Prasino3",73,3
"167",1996-04-17,1.11,0.84,0.27,"Prasino3",108,4
"168",1996-05-10,1.11,0.92,0.19,"Prasino3",131,5
"169",1996-06-13,4.43,3.6,0.83,"Prasino3",165,6
"170",1996-07-11,0.89,0.52,0.37,"Prasino3",193,7
"171",1996-08-07,4.19,2.04,2.15,"Prasino3",220,8
"172",1996-09-11,0.82,0.49,0.33,"Prasino3",255,9
"173",1996-10-09,0.52,0.35,0.17,"Prasino3",283,10
"174",1996-11-11,1.94,1.33,0.61,"Prasino3",316,11
"175",1996-12-10,3.99,1.99,2,"Prasino3",345,12
"176",1997-01-08,1.57,1,0.57,"Prasino3",8,1
"177",1997-02-14,4.29,2.8,1.49,"Prasino3",45,2
"178",1997-02-23,0.38,0.26,0.12,"Prasino3",54,2
"179",1997-03-13,6.84,3.93,2.91,"Prasino3",72,3
"180",1997-04-16,3,1.38,1.62,"Prasino3",106,4
"181",1997-05-10,1.57,1.03,0.54,"Prasino3",130,5
"182",1997-06-17,9.49,5.7,3.79,"Prasino3",168,6
"183",1997-07-08,1.73,0.8,0.93,"Prasino3",189,7
"184",1997-07-16,2.02,0.79,1.23,"Prasino3",197,7
"185",1997-08-17,5.83,3.07,2.76,"Prasino3",229,8
"186",1997-09-17,3.93,1.83,2.1,"Prasino3",260,9
"187",1997-10-14,5.84,3.66,2.18,"Prasino3",287,10
"188",1997-11-13,4.14,3.27,0.87,"Prasino3",317,11
"189",1997-12-17,4.85,2.48,2.37,"Prasino3",351,12
"190",1998-01-14,2.01,0.92,1.09,"Prasino3",14,1
"191",1998-02-11,2.25,0.83,1.42,"Prasino3",42,2
"192",1998-03-12,2.83,2.31,0.52,"Prasino3",71,3
"193",1998-04-21,2.64,1.72,0.92,"Prasino3",111,4
"194",1998-06-09,3.62,1.23,2.39,"Prasino3",160,6
"195",1998-07-09,3.3,1.34,1.96,"Prasino3",190,7
"196",1998-08-05,2.13,1.14,0.99,"Prasino3",217,8
"197",1998-09-01,0.5,0.49,0.01,"Prasino3",244,9
"198",1998-12-16,1.97,0.08,1.89,"Prasino3",350,12
"199",1999-01-12,0.04,0.03,0.01,"Prasino3",12,1
"200",1999-03-04,0,0,0,"Prasino3",63,3
"201",1999-04-07,0.46,0.18,0.28,"Prasino3",97,4
"202",1999-07-15,0.17,0.12,0.05,"Prasino3",196,7
"203",1999-08-11,0,0,0,"Prasino3",223,8
"204",1999-09-14,0.6,0.05,0.55,"Prasino3",257,9
"205",1999-10-05,2.58,0.58,2,"Prasino3",278,10
"206",1999-11-04,0.95,0.35,0.6,"Prasino3",308,11
"207",1999-12-07,0.69,0.69,0,"Prasino3",341,12
"208",2000-01-11,1.77,1.55,0.22,"Prasino3",11,1
"209",2000-02-08,1.92,1.74,0.18,"Prasino3",39,2
"210",2000-03-09,0.81,0.81,0,"Prasino3",69,3
"211",2000-04-11,1.33,1.02,0.31,"Prasino3",102,4
"212",2000-05-11,1.76,1.4,0.36,"Prasino3",132,5
"213",2000-06-06,2.17,1.47,0.7,"Prasino3",158,6
"214",2000-07-07,0.19,0.19,0,"Prasino3",189,7
"215",2000-08-09,1.51,0.81,0.7,"Prasino3",222,8
"216",2000-09-12,1.53,0.77,0.76,"Prasino3",256,9
"217",2000-10-10,2.49,1.46,1.03,"Prasino3",284,10
"218",2006-07-04,2.1,0.85,1.25,"Prasino3",185,7
"219",2006-08-03,2.36,1.85,0.51,"Prasino3",215,8
"220",2006-09-12,2.97,1.52,1.45,"Prasino3",255,9
"221",2006-10-10,1.22,0.81,0.41,"Prasino3",283,10
"222",2006-11-02,2.71,1.09,1.62,"Prasino3",306,11
"223",2006-12-05,4.32,1.32,3,"Prasino3",339,12
"224",2007-02-06,0.54,0.43,0.11,"Prasino3",37,2
"225",2007-03-06,2.64,2.35,0.29,"Prasino3",65,3
"226",2007-04-10,3.76,3.08,0.68,"Prasino3",100,4
"227",2007-05-08,3.62,2.11,1.51,"Prasino3",128,5
"228",2007-06-05,1.9,1.05,0.85,"Prasino3",156,6
"229",2007-07-03,2.21,1.33,0.88,"Prasino3",184,7
"230",2007-08-07,1.43,0.7,0.73,"Prasino3",219,8
"231",2007-09-04,3.19,1.51,1.68,"Prasino3",247,9
"232",2007-10-19,1.67,0.77,0.9,"Prasino3",292,10
"233",2007-12-11,2.04,0.91,1.13,"Prasino3",345,12
"234",2008-01-10,0.91,0.63,0.28,"Prasino3",10,1
"235",2008-02-12,1.75,1.22,0.53,"Prasino3",43,2
"236",2008-03-11,1.85,1.31,0.54,"Prasino3",71,3
"237",2008-04-08,1.96,1.46,0.5,"Prasino3",99,4
"238",2008-05-04,3.64,1.57,2.07,"Prasino3",125,5
"239",2008-06-03,1.92,0.87,1.05,"Prasino3",155,6
"240",2008-07-08,3.11,1.72,1.39,"Prasino3",190,7
"241",2008-08-05,2.04,0.81,1.23,"Prasino3",218,8
"242",2008-09-10,3.07,1.45,1.62,"Prasino3",254,9
"243",2008-10-10,3.09,1.26,1.83,"Prasino3",284,10
"244",2008-11-18,5.67,2.72,2.95,"Prasino3",323,11
"245",2008-12-10,3.85,2.22,1.63,"Prasino3",345,12
"246",2009-01-13,2.82,2.03,0.79,"Prasino3",13,1
"247",2009-02-10,4.22,3.32,0.9,"Prasino3",41,2
"248",2009-03-03,2.5,1.95,0.55,"Prasino3",62,3
"249",2009-04-07,3.79,2.98,0.81,"Prasino3",97,4
"250",2009-05-08,3.22,2.41,0.81,"Prasino3",128,5
"251",2009-06-02,2.57,1.75,0.82,"Prasino3",153,6
"252",2009-07-14,2.03,1.39,0.64,"Prasino3",195,7
"253",2009-08-11,3.39,2.02,1.37,"Prasino3",223,8
"254",2009-09-15,1.8,1.24,0.56,"Prasino3",258,9
"255",2009-10-07,1.51,0.75,0.76,"Prasino3",280,10
"256",2009-11-10,1.96,0.87,1.09,"Prasino3",314,11
"257",2009-12-08,2.04,1.42,0.62,"Prasino3",342,12
"258",2010-01-07,2.52,1.7,0.82,"Prasino3",7,1
"259",2010-02-11,0.32,0.22,0.1,"Prasino3",42,2
"260",2010-03-09,1.62,0.72,0.9,"Prasino3",68,3
"261",2010-04-07,2.12,1.3,0.82,"Prasino3",97,4
"262",2010-05-11,3.13,1.43,1.7,"Prasino3",131,5
"263",2010-06-08,2.24,1.26,0.98,"Prasino3",159,6
"264",2010-08-04,2.86,1.74,1.12,"Prasino3",216,8
"265",2010-09-15,4.545,1.07,3.475,"Prasino3",258,9
"266",2010-10-05,1.44,0.69,0.75,"Prasino3",278,10
"267",2010-11-09,1.84,0.91,0.93,"Prasino3",313,11
"268",2010-12-08,1.71,1.17,0.54,"Prasino3",342,12
"269",2011-01-11,1.58,1.19,0.39,"Prasino3",11,1
"270",2011-02-08,0.38,0.38,0,"Prasino3",39,2
"271",2011-03-15,2.22,1.84,0.38,"Prasino3",74,3
"272",2011-04-12,0.84,0.64,0.2,"Prasino3",102,4
"273",2011-05-10,5.78,3.91,1.87,"Prasino3",130,5
"274",2011-06-09,3.45,1.12,2.33,"Prasino3",160,6
"275",2011-07-07,3.01,1.64,1.37,"Prasino3",188,7
"276",2011-08-09,4.41,1.49,2.92,"Prasino3",221,8
"277",2011-09-06,3.04,2.18,0.86,"Prasino3",249,9
"278",2011-10-04,3.87,1.78,2.09,"Prasino3",277,10
"279",2011-11-18,3.43,1.14,2.29,"Prasino3",322,11
"280",2012-01-10,0.75,0.52,0.23,"Prasino3",10,1
"281",2012-02-07,0.32,0.29,0.03,"Prasino3",38,2
"282",2012-03-16,0.74,0.66,0.08,"Prasino3",76,3
"283",2012-04-10,4.9,3.16,1.74,"Prasino3",101,4
"284",2012-05-15,2.6,1.29,1.31,"Prasino3",136,5
"285",2012-07-26,1.28,1.04,0.24,"Prasino3",208,7
"286",2012-08-14,2.58,1.69,0.89,"Prasino3",227,8
"287",2012-09-11,4.15,1.96,2.19,"Prasino3",255,9
"288",2012-10-10,2.86,2.06,0.8,"Prasino3",284,10
"289",2012-11-08,2.65,0.72,1.93,"Prasino3",313,11
"290",2012-12-04,4.29,2.39,1.9,"Prasino3",339,12
"291",2013-03-05,3.38,2.69,0.69,"Prasino3",64,3
"292",2013-04-09,3.95,1.99,1.96,"Prasino3",99,4
"293",2013-05-09,4.77,2.67,2.1,"Prasino3",129,5
"294",2013-06-11,4.45,2.12,2.33,"Prasino3",162,6
"295",2013-07-11,3.5,2,1.5,"Prasino3",192,7
"296",2013-08-13,2.94,1.06,1.88,"Prasino3",225,8
"297",2013-09-11,1.38,0.62,0.76,"Prasino3",254,9
"298",2013-10-08,3.92,1.92,2,"Prasino3",281,10
"299",2013-11-13,2.32,1.59,0.73,"Prasino3",317,11
"300",2013-12-04,2.18,1.12,1.06,"Prasino3",338,12
"301",2014-01-14,0.51,0.49,0.02,"Prasino3",14,1
"302",2014-02-04,0.77,0.57,0.2,"Prasino3",35,2
"303",2014-03-10,0.59,0.34,0.25,"Prasino3",69,3
"304",2014-04-01,1.89,1.29,0.6,"Prasino3",91,4
"305",2014-05-06,0.26,0.08,0.18,"Prasino3",126,5
"306",2014-06-13,2.55,1.75,0.8,"Prasino3",164,6
"307",2014-09-03,4.36,1.9,2.46,"Prasino3",246,9
"308",2014-10-07,3.86,1.77,2.09,"Prasino3",280,10
"309",2014-11-12,4.77,3.09,1.68,"Prasino3",316,11
"310",2014-12-09,4.26,2.91,1.35,"Prasino3",343,12
"311",2015-02-15,2.73,1.94,0.79,"Prasino3",46,2
"312",2015-04-14,2.48,1.83,0.65,"Prasino3",104,4
"313",2015-07-29,1.54,1.3,0.24,"Prasino3",210,7
"314",2015-08-17,2.75,2.25,0.5,"Prasino3",229,8
"315",2015-09-10,2.09,1.75,0.34,"Prasino3",253,9
"316",2015-11-16,2.83,1.69,1.14,"Prasino3",320,11
"317",2015-12-09,2.23,1.69,0.54,"Prasino3",343,12
"318",2016-01-12,3.74,3.52,0.22,"Prasino3",12,1
"319",2016-02-04,1.72,1.23,0.49,"Prasino3",35,2
"320",2016-05-10,5.19,3.27,1.92,"Prasino3",131,5
"321",2016-06-07,4.42,1.12,3.3,"Prasino3",159,6
"322",2016-09-20,2.23,0.78,1.45,"Prasino3",264,9
"323",2016-12-21,1.08,0.74,0.34,"Prasino3",356,12
"324",2017-01-12,0.56,0.38,0.18,"Prasino3",12,1
"325",1995-12-14,0.66,0.66,0,"Crypto1",348,12
"326",1996-01-13,1.08,1.08,0,"Crypto1",13,1
"327",1996-02-14,1.93,1.81,0.12,"Crypto1",45,2
"328",1996-03-13,0.92,0.92,0,"Crypto1",73,3
"329",1996-04-17,2.76,2.76,0,"Crypto1",108,4
"330",1996-05-10,0.22,0.22,0,"Crypto1",131,5
"331",1996-06-13,3.81,3.13,0.68,"Crypto1",165,6
"332",1996-07-11,0.19,0.19,0,"Crypto1",193,7
"333",1996-08-07,0.14,0.14,0,"Crypto1",220,8
"334",1996-09-11,0.64,0.33,0.31,"Crypto1",255,9
"335",1996-10-09,0.64,0.46,0.18,"Crypto1",283,10
"336",1996-11-11,1.39,1.21,0.18,"Crypto1",316,11
"337",1996-12-10,1.17,0.79,0.38,"Crypto1",345,12
"338",1997-01-08,1.26,1.15,0.11,"Crypto1",8,1
"339",1997-02-14,0.27,0.21,0.06,"Crypto1",45,2
"340",1997-02-23,0.03,0.03,0,"Crypto1",54,2
"341",1997-03-13,0,0,0,"Crypto1",72,3
"342",1997-04-16,0.02,0.01,0.01,"Crypto1",106,4
"343",1997-05-10,0.29,0.28,0.01,"Crypto1",130,5
"344",1997-06-17,0.06,0.05,0.01,"Crypto1",168,6
"345",1997-07-08,0.02,0.02,0,"Crypto1",189,7
"346",1997-07-16,0.52,0.05,0.47,"Crypto1",197,7
"347",1997-08-17,0.1,0.09,0.01,"Crypto1",229,8
"348",1997-09-17,0.98,0.67,0.31,"Crypto1",260,9
"349",1997-10-14,1,0.4,0.6,"Crypto1",287,10
"350",1997-11-13,0.49,0.49,0,"Crypto1",317,11
"351",1997-12-17,1.01,0.13,0.88,"Crypto1",351,12
"352",1998-01-14,1.61,1.02,0.59,"Crypto1",14,1
"353",1998-02-11,0.5,0.2,0.3,"Crypto1",42,2
"354",1998-03-12,0.29,0.29,0,"Crypto1",71,3
"355",1998-04-21,1.11,0.42,0.69,"Crypto1",111,4
"356",1998-06-09,4.38,2.81,1.57,"Crypto1",160,6
"357",1998-07-09,0.21,0.21,0,"Crypto1",190,7
"358",1998-08-05,0.6,0.21,0.39,"Crypto1",217,8
"359",1998-09-01,1.42,1.42,0,"Crypto1",244,9
"360",1998-12-16,1.19,1.19,0,"Crypto1",350,12
"361",1999-01-12,5.37,5.37,0,"Crypto1",12,1
"362",1999-03-04,0.11,0.11,0,"Crypto1",63,3
"363",1999-04-07,0.06,0.06,0,"Crypto1",97,4
"364",1999-07-15,0.94,0.47,0.47,"Crypto1",196,7
"365",1999-08-11,0.01,0.01,0,"Crypto1",223,8
"366",1999-09-14,0.35,0.2,0.15,"Crypto1",257,9
"367",1999-10-05,0.91,0.28,0.63,"Crypto1",278,10
"368",1999-11-04,0.01,0.01,0,"Crypto1",308,11
"369",1999-12-07,0.07,0.03,0.04,"Crypto1",341,12
"370",2000-01-11,2.13,2.13,0,"Crypto1",11,1
"371",2000-02-08,1.67,1.67,0,"Crypto1",39,2
"372",2000-03-09,0.24,0.23,0.01,"Crypto1",69,3
"373",2000-04-11,0.92,0.92,0,"Crypto1",102,4
"374",2000-05-11,1.73,1.72,0.01,"Crypto1",132,5
"375",2000-06-06,0.2,0.14,0.06,"Crypto1",158,6
"376",2000-07-07,0.02,0.02,0,"Crypto1",189,7
"377",2000-08-09,0.59,0.57,0.02,"Crypto1",222,8
"378",2000-09-12,0.21,0.13,0.08,"Crypto1",256,9
"379",2000-10-10,0.49,0.27,0.22,"Crypto1",284,10
"380",2006-07-04,0.27,0.23,0.04,"Crypto1",185,7
"381",2006-08-03,1.99,1.76,0.23,"Crypto1",215,8
"382",2006-09-12,1.77,1.07,0.7,"Crypto1",255,9
"383",2006-10-10,1.8,1.34,0.46,"Crypto1",283,10
"384",2006-11-02,1.47,0.61,0.86,"Crypto1",306,11
"385",2006-12-05,1.74,1.13,0.61,"Crypto1",339,12
"386",2007-02-06,6.35,6.25,0.1,"Crypto1",37,2
"387",2007-03-06,4.23,4.2,0.03,"Crypto1",65,3
"388",2007-04-10,4.84,3.85,0.99,"Crypto1",100,4
"389",2007-05-08,4.07,3.81,0.26,"Crypto1",128,5
"390",2007-06-05,1.98,0.95,1.03,"Crypto1",156,6
"391",2007-07-03,0.84,0.82,0.02,"Crypto1",184,7
"392",2007-08-07,3.24,1.3,1.94,"Crypto1",219,8
"393",2007-09-04,0.98,0.54,0.44,"Crypto1",247,9
"394",2007-10-19,4.13,2.56,1.57,"Crypto1",292,10
"395",2007-12-11,2.79,1.67,1.12,"Crypto1",345,12
"396",2008-01-10,1.94,1.7,0.24,"Crypto1",10,1
"397",2008-02-12,7.65,7.41,0.24,"Crypto1",43,2
"398",2008-03-11,4.25,3.9,0.35,"Crypto1",71,3
"399",2008-04-08,3.86,3.24,0.62,"Crypto1",99,4
"400",2008-05-04,2.65,1.55,1.1,"Crypto1",125,5
"401",2008-06-03,4.26,1.3,2.96,"Crypto1",155,6
"402",2008-07-08,2.52,2.2,0.32,"Crypto1",190,7
"403",2008-08-05,4.75,2.75,2,"Crypto1",218,8
"404",2008-09-10,1.3,0.64,0.66,"Crypto1",254,9
"405",2008-10-10,1.99,0.68,1.31,"Crypto1",284,10
"406",2008-11-18,1.75,0.92,0.83,"Crypto1",323,11
"407",2008-12-10,1.08,0.62,0.46,"Crypto1",345,12
"408",2009-01-13,3.05,2.64,0.41,"Crypto1",13,1
"409",2009-02-10,1.89,1.63,0.26,"Crypto1",41,2
"410",2009-03-03,1.97,1.72,0.25,"Crypto1",62,3
"411",2009-04-07,3.53,3.09,0.44,"Crypto1",97,4
"412",2009-05-08,4.49,4.3,0.19,"Crypto1",128,5
"413",2009-06-02,3.91,3.55,0.36,"Crypto1",153,6
"414",2009-07-14,1.01,0.77,0.24,"Crypto1",195,7
"415",2009-08-11,4.37,4.06,0.31,"Crypto1",223,8
"416",2009-09-15,2.55,1.44,1.11,"Crypto1",258,9
"417",2009-10-07,2.28,1.58,0.7,"Crypto1",280,10
"418",2009-11-10,0.73,0.4,0.33,"Crypto1",314,11
"419",2009-12-08,0.66,0.48,0.18,"Crypto1",342,12
"420",2010-01-07,2.88,2.59,0.29,"Crypto1",7,1
"421",2010-02-11,4.76,4.64,0.12,"Crypto1",42,2
"422",2010-03-09,1.62,0.83,0.79,"Crypto1",68,3
"423",2010-04-07,0.86,0.68,0.18,"Crypto1",97,4
"424",2010-05-11,2.66,2.15,0.51,"Crypto1",131,5
"425",2010-06-08,1.68,0.98,0.7,"Crypto1",159,6
"426",2010-08-04,1.07,0.82,0.25,"Crypto1",216,8
"427",2010-09-15,2.905,0.96,1.945,"Crypto1",258,9
"428",2010-10-05,0.96,0.55,0.41,"Crypto1",278,10
"429",2010-11-09,0.69,0.51,0.18,"Crypto1",313,11
"430",2010-12-08,2.48,2.37,0.11,"Crypto1",342,12
