studyName,"Datetime GMT","Latitude (º)","Longitude (º)",Cycle,Event,Cast,"Depth (m)",Bottle,"Assoc Bottle 1","Assoc Bottle 2","Assoc Bottle 3","Total Chl (µg/L)","Chl - 1µm (µg/L)","Chl - 3µm (µg/L)","Chl - 8µm (µg/L)","Chl - 20µm (µg/L)","Chl < 1.0µm (%)","Chl 1.0µm - 3.0µm (%)","Chl 3.0µm - 8.0µm (%)","Chl 8.0µm - 20.0µm (%)","Chl > 20.0µm (%)"
P0704TN,"2007-04-19 09:08:00",33.742,-121.001,Cycle4,494,47,12.03,20,19,21,,0.62,0.32,0.20,0.14,0.11,49.2,18.8,9.3,4.4,18.2
P0704TN,"2007-04-19 18:56:00",33.765,-120.925,Cycle4,508,48,15.29,17,18,,,1.17,0.54,0.30,0.23,0.15,54.1,20.1,6.4,6.7,12.8
P0704TN,"2007-04-20 09:47:00",33.797,-120.783,Cycle4,536,50,11.46,18,17,,,0.83,0.42,0.29,0.22,0.16,49.7,15.1,9.0,7.1,19.1
P0810MV,"2008-10-02 08:58:11",32.643272,-124.002362,"Cycle 0",25,2,11.46,19,,,,0.07,0.03,0.01,0.01,0.00,63.7,19.0,10.0,3.3,4.0
P0810MV,"2008-10-04 19:08:00",34.142953,-120.917502,"Cycle 1",86,8,10.261,21,,,,0.21,0.11,0.06,0.02,0.01,48.2,21.4,20.4,3.6,6.4
P0810MV,"2008-10-05 09:11:26",34.113715,-120.84065,"Cycle 1",106,10,11.616,19,20,,,0.23,0.12,0.06,0.03,0.02,48.8,25.7,14.3,4.4,6.9
P0810MV,"2008-10-05 19:17:21",34.073722,-120.829513,"Cycle 1",120,11,2.373,20,18,,,0.25,0.12,0.07,0.03,0.02,50.5,22.2,15.9,3.8,7.6
P0810MV,"2008-10-06 09:27:53",33.96773,-120.767522,"Cycle 1",138,13,4.551,22,23,,,0.33,0.18,0.10,0.04,0.03,45.8,24.5,16.3,5.2,8.2
P0810MV,"2008-10-06 20:07:15",33.892182,-120.757582,"Cycle 1",155,14,23.104,10,,,,1.17,0.90,0.67,0.54,0.53,22.8,20.3,11.1,0.6,45.2
P0810MV,"2008-10-06 20:07:15",33.892182,-120.757582,"Cycle 1",155,14,6.88,17,,,,0.73,0.47,0.37,0.31,0.27,36.1,13.6,8.0,5.5,36.8
P0810MV,"2008-10-07 09:16:48",33.782482,-120.73139,"Cycle 1",177,16,11.22,19,,,,0.50,0.24,0.22,0.13,0.11,51.5,4.2,18.8,2.6,22.9
P0810MV,"2008-10-07 19:19:21",33.700833,-120.75727,"Cycle 1",195,17,8.301,19,,,,0.88,0.60,0.46,0.33,0.35,31.5,16.4,14.3,-1.6,39.4
P0810MV,"2008-10-08 09:08:52",33.530645,-120.725845,"Cycle 1",216,19,11.946,21,,,,1.25,0.89,0.79,0.72,0.71,28.7,8.5,5.3,0.6,57.0
P0810MV,"2008-10-09 09:10:10",32.88562,-123.686145,"Cycle 2",229,20,7.346,22,23,,,0.17,0.08,0.04,0.02,0.01,51.0,24.7,11.3,5.9,7.2
