"","FuncGroup","date","mean_val"
"212","COCCOLITHOPHORIDS",2015-09-10 08:50:00,7.347375
"213","COCCOLITHOPHORIDS",2015-11-16 08:47:00,69.7917075
"214","COCCOLITHOPHORIDS",2015-12-09 08:50:00,5.4103
"215","COCCOLITHOPHORIDS",2016-01-12 08:52:00,161.7440075
"216","COCCOLITHOPHORIDS",2016-02-04 09:11:00,1.17796
"217","COCCOLITHOPHORIDS",2016-05-11 08:22:00,0.0096
"218","COCCOLITHOPHORIDS",2016-06-07 14:25:00,0.0382694
"219","COCCOLITHOPHORIDS",2016-09-20 09:02:00,0.0785
"220","COCCOLITHOPHORIDS",2016-12-21 08:26:00,2.1015
"221","COCCOLITHOPHORIDS",2017-01-12 08:17:00,0.193
"222","CYANOBACTERIA",1995-11-08 07:36:00,1.71533
"223","CYANOBACTERIA",1995-12-13 08:11:00,3.975
"224","CYANOBACTERIA",1996-01-12 08:35:00,2.763635
"225","CYANOBACTERIA",1996-02-13 08:16:00,6.52561
"226","CYANOBACTERIA",1996-03-13 08:44:00,0.1915
"227","CYANOBACTERIA",1996-04-16 09:12:00,0.2370425
"228","CYANOBACTERIA",1996-05-09 08:15:00,0.21
"229","CYANOBACTERIA",1996-06-12 08:51:00,1.12865
"230","CYANOBACTERIA",1996-07-10 08:40:00,0.0319375
"231","CYANOBACTERIA",1996-08-06 08:35:00,0.08086
"232","CYANOBACTERIA",1996-09-10 08:37:00,0
"233","CYANOBACTERIA",1996-10-09 08:38:00,0
"234","CYANOBACTERIA",1996-11-10 08:22:00,0.879285
"235","CYANOBACTERIA",1996-12-11 09:20:00,0.2091
"236","CYANOBACTERIA",1997-01-07 09:30:00,0
"237","CYANOBACTERIA",1997-02-13 09:24:00,0
"238","CYANOBACTERIA",1997-03-13 09:39:00,0
"239","CYANOBACTERIA",1997-04-15 09:22:00,0
"240","CYANOBACTERIA",1997-05-10 09:36:00,0
"241","CYANOBACTERIA",1997-06-17 09:17:00,0
"242","CYANOBACTERIA",1997-07-08 09:24:00,0.0810475
"243","CYANOBACTERIA",1997-09-17 09:28:00,0.003735
"244","CYANOBACTERIA",1997-10-14 09:46:00,0.19741
"245","CYANOBACTERIA",1997-11-13 09:41:00,0.09644
"246","CYANOBACTERIA",1997-12-17 09:28:00,0.148325
"247","CYANOBACTERIA",1998-01-14 09:25:00,0.327295
"248","CYANOBACTERIA",1998-02-11 10:23:00,0.261832497
"249","CYANOBACTERIA",1998-03-12 09:37:00,0
"250","CYANOBACTERIA",1998-06-09 09:34:00,3.906935
"251","CYANOBACTERIA",1998-07-09 09:15:00,0.320845
"252","CYANOBACTERIA",1998-08-05 09:50:00,0.1385475
"253","CYANOBACTERIA",1998-09-01 09:55:00,0.05625
"254","CYANOBACTERIA",1998-10-14 09:31:00,0.0260625
"255","CYANOBACTERIA",1998-12-16 09:35:00,0.3946875
"256","CYANOBACTERIA",1999-01-12 09:30:00,0
"257","CYANOBACTERIA",1999-02-10 09:37:00,1.567905
"258","CYANOBACTERIA",1999-03-04 09:35:00,0.02125
"259","CYANOBACTERIA",1999-04-07 09:37:00,0.03046
"260","CYANOBACTERIA",1999-05-06 09:15:00,0.0739675
"261","CYANOBACTERIA",1999-06-08 09:34:00,0.20672
"262","CYANOBACTERIA",1999-07-15 09:36:00,0.215895
"263","CYANOBACTERIA",1999-08-11 09:25:00,0.02376
"264","CYANOBACTERIA",1999-09-14 10:05:00,0.32773
"265","CYANOBACTERIA",1999-10-05 10:25:00,0.1785
"266","CYANOBACTERIA",1999-11-04 09:18:00,0.08252
"267","CYANOBACTERIA",1999-12-07 09:45:00,0.35
"268","CYANOBACTERIA",2000-01-11 09:35:00,1.893245
"269","CYANOBACTERIA",2000-02-08 09:30:00,56.01892
"270","CYANOBACTERIA",2000-03-09 09:32:00,37.09884
"271","CYANOBACTERIA",2000-04-11 09:54:00,5.933265
"272","CYANOBACTERIA",2000-05-11 10:05:00,4.594795
"273","CYANOBACTERIA",2000-06-06 10:21:00,6.33838
"274","CYANOBACTERIA",2000-07-07 10:03:00,28.92575
"275","CYANOBACTERIA",2000-10-10 09:55:00,17.13408
"276","CYANOBACTERIA",2000-11-03 09:23:00,8.390275
"277","CYANOBACTERIA",2000-12-05 10:30:00,19.74066
"278","CYANOBACTERIA",2001-01-11 10:16:00,36.61833
"279","CYANOBACTERIA",2001-02-16 10:35:00,9.06767
"280","CYANOBACTERIA",2001-03-14 10:28:00,10.14825
"281","CYANOBACTERIA",2001-04-04 09:45:00,2.26975
"282","CYANOBACTERIA",2001-05-05 09:49:00,17.33348
"283","CYANOBACTERIA",2001-06-12 10:41:00,15.44923
"284","CYANOBACTERIA",2001-07-10 10:20:00,10.87101
"285","CYANOBACTERIA",2001-08-07 09:45:00,6.682845
"286","CYANOBACTERIA",2001-09-12 09:54:00,7.44703
"287","CYANOBACTERIA",2001-10-09 09:58:00,16.80841
"288","CYANOBACTERIA",2001-11-06 09:52:00,14.342325
"289","CYANOBACTERIA",2001-12-11 08:57:00,123.073165
"290","CYANOBACTERIA",2002-01-10 11:00:00,7.43232
"291","CYANOBACTERIA",2002-02-14 10:30:00,18.3796
"292","CYANOBACTERIA",2002-03-12 11:15:00,1.34085
"293","CYANOBACTERIA",2002-04-02 10:17:00,0
"294","CYANOBACTERIA",2002-05-07 10:42:00,0
"295","CYANOBACTERIA",2002-06-12 10:16:00,48.730355
"296","CYANOBACTERIA",2002-07-09 10:00:00,7.15503
"297","CYANOBACTERIA",2002-08-06 09:02:00,6.92674
"298","CYANOBACTERIA",2002-10-03 08:36:00,26.033095
"299","CYANOBACTERIA",2002-11-07 08:36:00,0.59604
"300","CYANOBACTERIA",2002-12-05 07:29:00,0
"301","CYANOBACTERIA",2003-01-14 08:48:00,2.87309
"302","CYANOBACTERIA",2003-02-11 08:49:00,0
"303","CYANOBACTERIA",2003-03-11 08:32:00,0
"304","CYANOBACTERIA",2003-04-08 08:27:00,0.00672
"305","CYANOBACTERIA",2003-06-10 08:51:00,0
"306","CYANOBACTERIA",2003-07-08 08:16:00,0.59732
"307","CYANOBACTERIA",2003-08-04 08:28:00,0.02208
"308","CYANOBACTERIA",2003-09-09 08:52:00,0.4525
"309","CYANOBACTERIA",2003-11-11 08:37:00,0
"310","CYANOBACTERIA",2004-02-08 08:29:00,0
"311","CYANOBACTERIA",2004-03-08 08:12:00,0
"312","CYANOBACTERIA",2004-06-08 08:21:00,0
"313","CYANOBACTERIA",2004-07-07 08:26:00,0
