"","AphiaID","aphiaid","speciesorig","speciesclean","scientificname","wm_attrs","wm_classes"
"37",109559,109559,"Goniodoma sp.","Goniodoma sp.","Goniodoma sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Thoracosphaerales_Thoracosphaeraceae_Goniodoma"
"38",109563,109563,"Oxyphisis sp.","Oxyphysis sp.","Phalacroma sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Oxyphysis"
"39",109566,109566,"Prorocentrum sp.","Prorocentrum sp.","Prorocentrum sp.","Functional group:plankton > phytoplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Prorocentrales_Prorocentraceae_Prorocentrum"
"40",109588,109588,"Tselidionium vaubanii","Pseliodinium vaubanii","Ceratoperidinium falcatum","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinoflagellata incertae sedis_Pseliodinium_Pseliodinium vaubanii"
"41",109589,109589,"Amphisolenia bidentata","Amphisolenia bidentata","Amphisolenia bidentata","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Amphisoleniaceae_Amphisolenia_Amphisolenia bidentata"
"42",109603,109603,"Dinophysis acuminata","Dinophysis acuminata","Dinophysis acuminata","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:mixoplankton > plastid Specialists Non-Constitutive Mixoplankton (pSNCM)","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis_Dinophysis acuminata"
"43",109612,109612,"Dinophysis caudata","Dinophysis caudata","Dinophysis caudata","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton, Functional group:mixoplankton > plastid Specialists Non-Constitutive Mixoplankton (pSNCM)","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis_Dinophysis caudata"
"44",109618,109618,"Dinophysis diegensis","Dinophysis diegensis","Dinophysis caudata","NA","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis_Dinophysis diegensis"
"45",109627,109627,"Dinophysis hastata","Dinophysis hastata","Dinophysis hastata","Functional group:plankton > zooplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis_Dinophysis hastata"
"46",109654,109654,"Dinophysis recurva","Dinophysis recurva","Dinophysis recurva","Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton","Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Dinophysiales_Dinophysaceae_Dinophysis_Dinophysis recurva"
