;AphiaID;aphiaid;speciesorig;speciesclean;scientificname;classificationgroup;functionalgroup_old;wm_attrs;wm_classes
86;109950;109950;Ceratium furca;Ceratium furca;Tripos furca;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium furca
87;109951;109951;Ceratium fusus;Ceratium fusus;Tripos fusus;;DINOFLAGELLATES;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium fusus
88;109953;109953;Ceratium gibberum;Ceratium gibberum;Tripos gibberus;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium gibberum
89;109956;109956;Ceratium horridum;Ceratium horridum;Tripos horridus;;DINOFLAGELLATES;Body size (qualitative):<0.2 mm, Functional group:plankton > microplankton;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium horridum
478;233281;233281;Ceratium humile;Ceratium humile;Tripos humilis;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium humile
90;109958;109958;Ceratium inflatum;Ceratium inflatum;Ceratium inflatum;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium inflatum
91;109960;109960;Ceratium karsteini;Ceratium karstenii;Tripos karstenii;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium karstenii
92;109961;109961;Ceratium kofoidii;Ceratium kofoidii;Tripos kofoidii;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium kofoidii
8;109421;109421;Ceratium lineatum;Ceratium lineatum;Tripos lineatus;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae
474;233237;233237;Ceratium longinum;Ceratium longinum;Tripos longinus;;DINOFLAGELLATES;NA;Chromista_Harosa_Alveolata_Myzozoa_Dinozoa_Dinoflagellata_Dinophyceae_Gonyaulacales_Ceratiaceae_Ceratium_Ceratium longinum
