"","Date","val","spec","reg"
"681",1998-07-09,0,"Chloro1","1"
"682",1998-08-05,1.56,"Chloro1","1"
"683",1998-09-01,0.67,"Chloro1","1"
"684",1998-12-16,1.72,"Chloro1","1"
"685",1999-01-12,1.24,"Chloro1","1"
"686",1999-03-04,0,"Chloro1","1"
"687",1999-04-07,0.05,"Chloro1","1"
"688",1999-07-15,0,"Chloro1","1"
"689",1999-08-11,0,"Chloro1","1"
"690",1999-09-14,0.15,"Chloro1","1"
"691",1999-10-05,0,"Chloro1","1"
"692",1999-11-04,0,"Chloro1","1"
"693",1999-12-07,0.04,"Chloro1","1"
"694",2000-01-11,0.01,"Chloro1","1"
"695",2000-02-08,0.03,"Chloro1","1"
"696",2000-03-09,0.22,"Chloro1","1"
"697",2000-04-11,0,"Chloro1","1"
"698",2000-05-11,0,"Chloro1","1"
"699",2000-06-06,0.12,"Chloro1","1"
"700",2000-07-07,0.02,"Chloro1","1"
"701",2000-08-09,0.12,"Chloro1","1"
"702",2000-09-12,0,"Chloro1","1"
"703",2000-10-10,0,"Chloro1","1"
"812",1996-01-13,0.46,"Cyano4","1"
"813",1996-02-14,0.34,"Cyano4","1"
"814",1996-03-13,0.27,"Cyano4","1"
"815",1996-04-17,1.36,"Cyano4","1"
"816",1996-05-10,0.54,"Cyano4","1"
"817",1996-06-13,0.11,"Cyano4","1"
"818",1996-07-11,2.7,"Cyano4","1"
"819",1996-08-07,1.42,"Cyano4","1"
"820",1996-09-11,2.91,"Cyano4","1"
"821",1996-10-09,3.16,"Cyano4","1"
"822",1996-11-11,2.13,"Cyano4","1"
"823",1996-12-10,1.99,"Cyano4","1"
"824",1997-01-08,1.68,"Cyano4","1"
"825",1997-02-14,0.42,"Cyano4","1"
"826",1997-02-23,0.4,"Cyano4","1"
"827",1997-03-13,0,"Cyano4","1"
"828",1997-04-16,1.27,"Cyano4","1"
"829",1997-05-10,0.15,"Cyano4","1"
"830",1997-06-17,0.9,"Cyano4","1"
"831",1997-07-08,0.05,"Cyano4","1"
"832",1997-07-16,0.12,"Cyano4","1"
"833",1997-08-17,1.98,"Cyano4","1"
"834",1997-09-17,1.74,"Cyano4","1"
"835",1997-10-14,0,"Cyano4","1"
"836",1997-11-13,0,"Cyano4","1"
"837",1997-12-17,0,"Cyano4","1"
"838",1998-01-14,1.24,"Cyano4","1"
"839",1998-02-11,0.28,"Cyano4","1"
"840",1998-03-12,0,"Cyano4","1"
"841",1998-04-21,1.36,"Cyano4","1"
"842",1998-06-09,4.44,"Cyano4","1"
"843",1998-07-09,2.5,"Cyano4","1"
"844",1998-08-05,4.15,"Cyano4","1"
"845",1998-09-01,2.98,"Cyano4","1"
"846",1998-12-16,1.85,"Cyano4","1"
"847",1999-01-12,4.1,"Cyano4","1"
"848",1999-03-04,0.02,"Cyano4","1"
"849",1999-04-07,1.24,"Cyano4","1"
"850",1999-07-15,1.37,"Cyano4","1"
"851",1999-08-11,0.77,"Cyano4","1"
"852",1999-09-14,1.74,"Cyano4","1"
"853",1999-10-05,2.6,"Cyano4","1"
"854",1999-11-04,2.56,"Cyano4","1"
"855",1999-12-07,3.19,"Cyano4","1"
"856",2000-01-11,1.76,"Cyano4","1"
"857",2000-02-08,1.03,"Cyano4","1"
"858",2000-03-09,0.92,"Cyano4","1"
"859",2000-04-11,1,"Cyano4","1"
"860",2000-05-11,1.94,"Cyano4","1"
"861",2000-06-06,1.29,"Cyano4","1"
"862",2000-07-07,0.59,"Cyano4","1"
"863",2000-08-09,3.63,"Cyano4","1"
"864",2000-09-12,3.68,"Cyano4","1"
"865",2000-10-10,3.92,"Cyano4","1"
"974",1996-01-13,29.02,"Diatom1","1"
"975",1996-02-14,20.23,"Diatom1","1"
"976",1996-03-13,14.93,"Diatom1","1"
"977",1996-04-17,101.3,"Diatom1","1"
"978",1996-05-10,31.41,"Diatom1","1"
"979",1996-06-13,14.64,"Diatom1","1"
"980",1996-07-11,11.02,"Diatom1","1"
"981",1996-08-07,8.36,"Diatom1","1"
"982",1996-09-11,13.06,"Diatom1","1"
"983",1996-10-09,15.69,"Diatom1","1"
"984",1996-11-11,25.31,"Diatom1","1"
"985",1996-12-10,7.14,"Diatom1","1"
"986",1997-01-08,87.49,"Diatom1","1"
"987",1997-02-14,17.47,"Diatom1","1"
"988",1997-02-23,36.78,"Diatom1","1"
"989",1997-03-13,44.41,"Diatom1","1"
"990",1997-04-16,49.01,"Diatom1","1"
"991",1997-05-10,21.32,"Diatom1","1"
"992",1997-06-17,5.77,"Diatom1","1"
"993",1997-07-08,8.57,"Diatom1","1"
"994",1997-07-16,20.24,"Diatom1","1"
"995",1997-08-17,8.11,"Diatom1","1"
"996",1997-09-17,4.77,"Diatom1","1"
"997",1997-10-14,6.44,"Diatom1","1"
"998",1997-11-13,4.86,"Diatom1","1"
"999",1997-12-17,15.71,"Diatom1","1"
"1000",1998-01-14,16.79,"Diatom1","1"
"1001",1998-02-11,15.1,"Diatom1","1"
"1002",1998-03-12,66.63,"Diatom1","1"
"1003",1998-04-21,14.05,"Diatom1","1"
"1004",1998-06-09,13.03,"Diatom1","1"
"1005",1998-07-09,5.23,"Diatom1","1"
"1006",1998-08-05,10.71,"Diatom1","1"
"1007",1998-09-01,6.6,"Diatom1","1"
"1008",1998-12-16,20.23,"Diatom1","1"
"1009",1999-01-12,32.95,"Diatom1","1"
"1010",1999-03-04,0,"Diatom1","1"
"1011",1999-04-07,2.34,"Diatom1","1"
"1012",1999-07-15,7.78,"Diatom1","1"
"1013",1999-08-11,0.31,"Diatom1","1"
"1014",1999-09-14,7.16,"Diatom1","1"
