"","Fuco","date","Perid","Allo","But_fuco","Hex_fuco","Zea","Tot_Chl_b","DP","Tot_Chl_a","TChl"
"31",0.0430591727159697,1998-06-09,NA,0.00352380952380952,0.0211964592652071,0.0700996447554931,0.0123193149122512,0.123783156977828,NA,0.301373688076706,NA
"32",0.038,1998-07-09,NA,NA,0.017,0.087,0.005,0.091,NA,0.22,NA
"33",0.0558567047647334,1998-08-05,NA,NA,0.0146363636363636,0.0420763232715645,0.0065,0.0983636363636364,NA,0.183516878167291,NA
"34",0.0273840032042264,1998-09-01,NA,NA,0.0099007196255289,0.026611245763708,0.00604761904761905,NA,NA,0.054667803614427,NA
"35",0.0170883107861342,1998-10-14,NA,NA,0.0090823864986958,0.0193390050502125,NA,NA,NA,0.0810660988394479,NA
"36",0.0229183650866901,1998-11-10,NA,NA,0.0240993527184572,0.0583932790521056,0.0135097175955916,NA,NA,0.239321135295654,NA
"37",0.00880952380952381,1998-12-16,NA,NA,0.01,0.0123809523809524,NA,NA,NA,0.0382380952380952,NA
"38",0.014054347826087,1999-01-12,NA,NA,0.0208268844437538,0.0586575312856039,0.0108610698932397,0.127660418040598,NA,0.142315379839398,NA
"39",0.0392601776383997,1999-02-10,NA,NA,NA,0.006,NA,NA,NA,NA,NA
"40",0.0139325361172438,1999-03-04,NA,NA,0.0129689438277159,0.0207717127781844,NA,NA,NA,NA,NA
"41",0.0688166947859203,1999-04-07,NA,NA,0.0165208054812367,0.0383497537207588,NA,0.0296190476190476,NA,0.11283643638108,NA
"42",NA,1999-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",0.0282860710444022,1999-06-08,NA,0.004,0.00860777060061548,0.0373984719332537,0.00502452537936622,0.048,NA,0.0871056424001733,NA
"44",0.0509499289342633,1999-07-15,NA,NA,0.00576190476190476,0.0379057746860903,0.012,0.068,NA,0.132527029016345,NA
"45",0.231055920637818,1999-08-11,NA,NA,0.0432621764610008,0.0648825571027572,0.007,NA,NA,0.244177791515832,NA
"46",0.119657188865099,1999-09-14,NA,NA,0.0197169162656474,0.0580889987239359,0.00666891038088613,0.0391195652173913,NA,0.263559732321353,NA
"47",0.0174573453694729,1999-10-05,NA,0.0035,0.0171602168381982,0.030434518756086,0.0147776424021565,0.075126430305555,NA,0.137392095275636,NA
"48",0.00922028124108604,1999-11-04,NA,NA,0.00773536793107688,0.00897243466983272,0.0051054060648438,0.025833201796714,NA,0.0561136516559434,NA
"49",0.00347317706518742,1999-12-07,NA,NA,0.00325138731616002,0.0093800686163981,0.0164531354900416,NA,NA,0.0660573058021486,NA
"50",0.00649104466048576,2000-01-11,NA,NA,0.00523809523809524,0.00983050052360142,0.006,0.042,NA,0.0347448108613028,NA
"51",0.00728507382572318,2000-02-08,NA,NA,0.00287563033756468,0.0121934824715136,0.00365475317619586,0.032,NA,0.0375087514173005,NA
"52",0.00626086956521739,2000-03-09,NA,NA,0.007,0.00615217391304348,NA,NA,NA,0.0252707352356433,NA
"53",0.00835033003690753,2000-04-11,NA,NA,NA,0.00670931378479748,0.00379581456833438,0.0143107956069909,NA,0.0308132050063926,NA
"54",0.0380994189715777,2000-05-11,NA,NA,0.00891417065988745,0.0250107809477255,0.004,0.068540335298419,NA,0.133571428571429,NA
"55",0.009565471918568,2000-06-06,NA,NA,0.00856661764486602,0.0194395626626274,0.009,0.0323983123066183,NA,0.0864074269578071,NA
"56",0.015,2000-07-07,NA,NA,0.005,0.009,0.006,NA,NA,0.037,NA
"57",0.0200964505117052,2000-08-09,NA,NA,0.00761561209662307,0.0198539682469685,0.0178095238095238,0.0307619047619048,NA,0.117824209997119,NA
"58",0.0467795048972331,2000-09-12,NA,NA,0.0278037981009376,0.0355262473964562,0.0160718747205616,0.0564309860738867,NA,0.220729807883935,NA
"59",0.0165344974925054,2000-10-10,NA,NA,0.0121724509259314,0.0223556066089067,0.00917245642295833,0.0516192838351545,NA,0.117154142281524,NA
"60",0.10974050512628,2000-11-03,0.013,0.00385714285714286,0.00982001631275595,0.0284578869947494,0.00670914683276206,0.0445880154477126,NA,NA,NA
"61",0.00742978144534522,2000-12-05,NA,NA,0.00251259284457126,0.00622425650698316,0.0013553234665351,0.0384610289991743,NA,NA,NA
"62",0.0174747692807648,2001-01-11,NA,NA,0.0030952380952381,0.00817581374499368,0.00112889959953708,0.0203853905127813,NA,NA,NA
"63",0.0165075120951943,2001-02-16,NA,0.00285989021364076,0.001,0.00124482848497449,0.00191433604173331,0.0118260869565217,NA,NA,NA
"64",0.0143768371494574,2001-03-14,0.001,0.00114997557891894,0.00144483359369088,0.00347067770316959,0.0012286639233247,0.00519077667102109,NA,NA,NA
"65",0.045457669734306,2001-04-04,NA,0.00462358541850381,0.00607147334924931,0.0144274292111357,0.00386735518098821,0.0226837020507152,NA,NA,NA
"66",0.0172670545561757,2001-05-05,0.00528571428571429,0.0040952380952381,0.00634357329959965,0.0249274396843996,0.00395887850279815,0.0633131723182396,NA,NA,NA
"67",0.0104120390708021,2001-06-12,NA,0.002,0.00304761904761905,0.00628571428571429,0.00166578585613856,0.0151428571428571,NA,NA,NA
"68",0.0261235923124417,2001-07-10,0.00223809523809524,0.005,0.00539983147237736,0.0189654708803291,0.00245183327861583,0.0114634215240189,NA,NA,NA
